"죄종별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"총계","발생건수[건]","건","358620","358534","368583","355991","356575","343104","320193","308997","309269","296178","257969","279507",
"총계","검거건수[건]","건","273089","260199","265023","258863","265788","267282","253081","239291","235360","219684","189140","192540",
"총계","발생건수 대비 검거건수[%]","%","76.1499637499","72.6","71.9","72.7","74.5","77.9","79","77.4","76.1","74.2","73.3","68.9",
"총계","검거인원[명]","명","428258","410864","413079","398304","393805","388136","358515","350388","346844","326217","263634","276483",
"총계","남자검거인원[명]","명","332227","313851","315728","299752","290952","292002","266660","253818","245621","227766","185176","194676",
"총계","여자검거인원[명]","명","75091","71337","69963","68379","69054","70480","66579","66836","69839","64326","55666","59855",
"총계","불상검거인원[명]","명","20940","25676","27388","30173","33799","25654","25276","29734","31384","34125","22792","21952",
"총계","법인체[개]","개","","2601","2796","2660","2630","2674","2577","2611","2323","2416","1937","2061",
"강력범죄","발생건수[건]","건","6910","6034","6279","6276","6204","6698","7499","6991","6993","6265","5344","6257",
"강력범죄","검거건수[건]","건","6025","5024","5292","5644","5749","6216","7063","6598","6491","5909","4839","5748",
"강력범죄","발생건수 대비 검거건수[%]","%","87.1924746744","83.3","84.3","89.9","92.7","92.8","94.2","94.4","92.8","94.3","90.6","91.9",
"강력범죄","검거인원[명]","명","7159","6086","6117","6245","6307","6824","7703","7378","7431","6889","5371","6234",
"강력범죄","남자검거인원[명]","명","6708","5705","5810","5937","6020","6526","7387","6967","6999","6432","5046","5900",
"강력범죄","여자검거인원[명]","명","297","264","201","197","203","215","236","289","307","348","267","260",
"강력범죄","불상검거인원[명]","명","154","117","106","111","84","83","80","122","125","109","58","74",
"강력범죄","법인체[개]","개","","-","","","","-","-","-","2","1","-","-",
"살인기수","발생건수[건]","건","83","67","49","57","67","47","50","45","47","52","48","37",
"살인기수","검거건수[건]","건","72","65","49","54","65","47","47","44","46","42","41","34",
