"죄종별","항목","단위","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년",
"총범죄","발생건수[건]","건","309165","310362","314957","345568","348843","353976","349118","349414","376053","349464","370838","410054","375940","382833","392377","350505","346733","355754","392590","405428","348180",
"총범죄","검거건수[건]","건","271784","287004","291322","335598","308254","314632","322684","326372","347953","332644","325294","357238","342817","340154","338007","308483","303079","317527","340883","354536","286624",
"총범죄","검거율[%]","%","87.9","92.5","92.5","97.1","88.4","88.9","92.4","93.4","92.5","95.2","87.7","87.1","91.2","88.9","86.1","88","87.4","89.3","86.8","87.4","82.3",
"총범죄","검거인원(계)[명]","명","316136","346912","349662","413251","381976","392817","401016","408076","436631","447013","439994","457653","407100","403694","482281","448244","469012","478838","507101","544343","437846",
"총범죄","검거인원(남)[명]","명","284983","312668","315286","367039","331381","337100","341741","349405","371697","377575","374528","386793","341989","337101","400959","375657","392592","399628","423883","450104","362083",
"총범죄","검거인원(여)[명]","명","31153","34244","34376","46212","50595","55717","59275","58671","64934","69438","65466","70860","65111","66593","81322","72587","76420","79210","83218","94239","75763",
"총범죄","성년(계)[명]","명","294445","322781","326751","382950","352493","360628","365722","373167","402899","415752","406706","427312","380966","382028","462154","427090","445707","450610","481408","520257","419002",
"총범죄","성년(남)[명]","명","264235","289700","293732","338531","303796","307359","309802","317470","340534","349157","344420","359813","318791","318014","383466","357286","373060","376316","403179","430289","346282",
"총범죄","성년(여)[명]","명","30210","33081","33019","44419","48697","53269","55920","55697","62365","66595","62286","67499","62175","64014","78688","69804","72647","74294","78229","89968","72720",
"총범죄","미성년(계)[명]","명","21691","24131","22911","30301","29483","32189","35294","34909","33732","31261","33288","30341","26134","21666","20127","21154","23305","28228","25693","24086","18844",
"총범죄","미성년(남)[명]","명","20748","22968","21554","28508","27585","29741","31939","31935","31163","28418","30108","26980","23198","19087","17493","18371","19532","23312","20704","19815","15801",
"총범죄","미성년(여)[명]","명","943","1163","1357","1793","1898","2448","3355","2974","2569","2843","3180","3361","2936","2579","2634","2783","3773","4916","4989","4271","3043",
"총범죄","법인체[개]","개","","","","","5829","4734","3084","2791","2194","3331","3184","3837","3804","3560","3819","4304","4691","4020","4071","4083","2744",
"형법범","발생건수[건]","건","169863","163516","168102","182189","141043","151031","148077","139675","157775","171546","195038","214787","206419","213394","205278","190692","188324","184309","187523","210056","208684",
"형법범","검거건수[건]","건","143918","145531","153255","179591","121237","128307","133879","128663","142414","162884","158901","169656","177459","177525","160073","155679","153501","154637","153825","173091","153967",
"형법범","검거율[%]","%","84.7","89","91.2","98.6","86","85","90.4","92.1","90.3","95","81.5","79","86","83.2","78","81.6","81.5","83.9","82","82.4","73.8",
"형법범","검거인원(계)[명]","명","187931","199503","205821","247382","188589","198125","201977","200476","220653","260574","258150","253252","226788","226840","274769","266311","275673","273921","271727","299252","262736",
