"범죄별","수사단서별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"합계","합계","범죄의 수사단서[건]","건","1829211","1965977","2189452","2168185","1917300","1902720","1944906","2006682","1933835","2020731","2008290","1824876","1738190","1767684","1714579","1531705","1575007","1613754","1729975",
"합계","현행범","범죄의 수사단서[건]","건","444702","503292","557685","434771","258128","158726","162573","166342","168681","170300","166932","142309","122056","114707","90613","72224","80144","80598","70295",
"합계","신고","범죄의 수사단서[건]","건","1097944","1072318","1150626","1175432","1164761","1264002","1352916","1365019","1320593","1374018","1325973","1239772","1276116","1341576","1350015","1207654","1254406","1280231","1389966",
"합계","피해자신고","범죄의 수사단서[건]","건","518083","540179","541039","564578","609116","679675","749180","728143","709732","733536","718547","661197","638994","667619","648559","581607","557006","543480","513238",
"합계","고소","범죄의 수사단서[건]","건","293411","262628","315746","302547","241446","271044","284497","283401","269477","288716","270388","252656","277980","287746","291809","253094","285223","304975","405839",
"합계","고발","범죄의 수사단서[건]","건","139005","131460","128372","123698","106011","77053","80134","82542","76146","69032","66484","64019","62102","61489","51047","48397","55645","56724","58903",
"합계","자수","범죄의 수사단서[건]","건","9512","6510","13691","18948","17026","14832","14068","13409","13066","12445","11157","10323","10232","9915","8072","6714","4521","4304","4150",
"합계","진정투서","범죄의 수사단서[건]","건","47957","44481","50090","58729","60283","79509","92580","134234","134486","150168","144346","138660","168576","191522","224455","200972","230434","246751","293218",
"합계","타인신고","범죄의 수사단서[건]","건","89976","87060","101688","106932","130879","141889","132457","123290","117686","120121","115051","112917","118232","123285","126073","116870","121577","123997","114618",
"합계","미신고","범죄의 수사단서[건]","건","286565","390367","481141","557982","494411","479992","429417","475321","435847","467132","515385","442795","340018","311401","273951","251827","240457","252925","269714",
"합계","불심검문","범죄의 수사단서[건]","건","103966","160191","213855","175691","187026","176772","156795","190274","180346","185544","237722","185650","113586","89084","64626","59970","62684","64583","75282",
"합계","피해품발견","범죄의 수사단서[건]","건","641","747","691","1367","1522","1317","1477","1826","1288","1360","1556","1965","1550","991","889","690","634","677","378",
"합계","변사체","범죄의 수사단서[건]","건","663","802","966","957","754","560","616","565","536","458","497","480","391","359","387","356","305","291","243",
"합계","탐문정보","범죄의 수사단서[건]","건","63255","81440","60246","104717","74683","72457","57308","59543","61678","71675","50735","41667","26138","22628","16643","11840","8660","10045","10128",
"합계","여죄","범죄의 수사단서[건]","건","28401","38886","60134","89100","67745","47730","42186","61022","38576","54045","48558","40919","44770","48783","54329","55525","57306","68119","62082",
"합계","기타","범죄의 수사단서[건]","건","89639","108301","145249","186150","162681","181156","171035","162091","153423","154050","176317","172114","153583","149556","137077","123446","110868","109210","121601",
"합계","미상","범죄의 수사단서[건]","건","","","","","","","","","8714","9281","","","","","","","","","",
"형법범","합계","범죄의 수사단서[건]","건","828021","845311","897536","993136","939171","997263","1038609","1057855","1016209","1047761","1005689","958865","988398","1041395","1044438","917787","1003883","1026799","1096129",
"형법범","현행범","범죄의 수사단서[건]","건","174338","184518","185340","186752","120000","109327","133261","140471","145502","146772","141446","122097","104009","95675","75351","57676","62772","62688","53883",
"형법범","신고","범죄의 수사단서[건]","건","578402","556995","585311","604611","646715","746926","801008","813192","763760","783839","767978","753715","818563","885510","916168","816650","902764","920396","991722",
"형법범","피해자신고","범죄의 수사단서[건]","건","266653","282882","311449","320489","364012","426386","472018","450691","420225","418459","411318","407375","421016","455184","449856","411286","442802","432086","401625",
"형법범","고소","범죄의 수사단서[건]","건","260101","224051","217535","221576","201996","219941","227725","227084","213901","220965","216593","207783","231039","237891","244437","208623","234007","242634","296597",
"형법범","고발","범죄의 수사단서[건]","건","6302","6464","6785","7453","6842","7431","5964","5901","4938","4974","4818","5594","5995","7019","7550","6670","7840","8521","10576",
"형법범","자수","범죄의 수사단서[건]","건","4166","1281","944","900","803","615","489","432","367","473","571","510","580","842","909","967","1124","1018","1090",
"형법범","진정투서","범죄의 수사단서[건]","건","17804","19552","25353","30536","36240","51066","66351","105181","103149","116496","110179","107518","133091","156327","187548","164852","190710","209496","257093",
"형법범","타인신고","범죄의 수사단서[건]","건","23376","22765","23245","23657","36822","41487","28461","23903","21180","22472","24499","24935","26842","28247","25868","24252","26281","26641","24741",
"형법범","미신고","범죄의 수사단서[건]","건","75281","103798","126885","201773","172456","141010","104340","104192","100000","109850","96265","83053","65826","60210","52919","43461","38347","43715","50524",
"형법범","불심검문","범죄의 수사단서[건]","건","4625","5798","5435","7451","6254","3735","1991","1873","1368","1555","1422","1229","839","738","590","421","443","366","321",
"형법범","피해품발견","범죄의 수사단서[건]","건","586","717","632","1202","1432","1198","1388","1761","1228","1273","1459","1849","1497","918","823","648","563","642","354",
"형법범","변사체","범죄의 수사단서[건]","건","520","585","613","682","591","501","556","515","486","417","465","444","359","319","311","275","219","228","177",
"형법범","탐문정보","범죄의 수사단서[건]","건","25115","38082","29812","58123","45136","44365","35157","34957","39370","45027","30092","22523","14526","11788","7978","4972","3165","3832","4487",
"형법범","여죄","범죄의 수사단서[건]","건","17776","32239","48272","74322","54930","27277","21410","30030","31792","33250","24379","19834","19010","15657","16570","16800","15714","19803","22290",
"형법범","기타","범죄의 수사단서[건]","건","26659","26377","42121","59993","64113","63934","43838","35056","25756","28328","38448","37174","29595","30790","26647","20345","18243","18844","22895",
"형법범","미상","범죄의 수사단서[건]","건","","","","","","","","","6947","7300","","","","","","","","","",
"재산범죄","합계","범죄의 수사단서[건]","건","455948","469654","503302","561972","568623","605360","637686","671224","617119","622126","573445","542336","576937","627430","659058","575332","634864","669303","746794",
"재산범죄","현행범","범죄의 수사단서[건]","건","34007","38328","38044","40491","24973","21430","26358","28640","27670","26704","25871","23423","21996","21060","17460","12591","13758","13822","11869",
"재산범죄","신고","범죄의 수사단서[건]","건","373851","357070","376591","390396","412476","481060","540932","569185","521541","521094","489843","470114","516756","571087","609723","536460","596375","626682","702603",
"재산범죄","피해자신고","범죄의 수사단서[건]","건","163585","176495","194019","198750","230200","272668","317319","309099","283770","271759","250929","242489","252874","277781","280989","263343","286601","283132","265066",
"재산범죄","고소","범죄의 수사단서[건]","건","187996","157557","154232","157653","140511","152110","155967","154529","136327","134845","130322","120957","131318","136541","142837","111575","126749","142945","188665",
