"범죄별","검거단서별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"합계","계","범죄의 검거 단서[건]","건","1569547","1720000","1914469","1933566","1620942","1496334","1496304","1543930","1518792","1638549","1691370","1556963","1466406","1479904","1399428","1228452","1219006","1272642","1363515",
"합계","현행범","범죄의 검거 단서[건]","건","463093","518220","568288","443071","289175","185478","160043","153829","149562","149616","144508","120745","99386","87093","67099","50890","55683","61120","54476",
"합계","피해자신고","범죄의 검거 단서[건]","건","284414","302726","331164","382923","354536","373499","403330","413991","431089","473495","489374","476766","464272","489041","475063","423638","392203","394984","390860",
"합계","고소","범죄의 검거 단서[건]","건","232701","216971","252621","254432","195925","201482","211365","211920","205702","218398","210767","196981","211890","213458","210319","176941","185471","224965","300056",
"합계","고발","범죄의 검거 단서[건]","건","116322","115782","113523","110373","91911","62090","65774","72893","67401","61976","58917","56751","56821","56086","49212","44175","47868","50842","54275",
"합계","자수","범죄의 검거 단서[건]","건","25063","20681","24483","29671","26320","20341","20052","19536","18235","17599","15898","15334","15264","13514","13905","9865","7278","7492","7338",
"합계","민간체포","범죄의 검거 단서[건]","건","889","976","817","754","911","817","795","696","644","445","355","281","231","311","251","271","205","235","232",
"합계","진정투서","범죄의 검거 단서[건]","건","19842","21854","26481","29662","29506","35931","36854","44419","56033","78007","84453","82823","89341","98354","106349","85262","93890","87973","102531",
"합계","타인신고","범죄의 검거 단서[건]","건","80023","87194","93452","97845","102050","101070","105671","108497","105318","116767","112226","110525","120497","126321","133367","124094","129624","136887","126794",
"합계","신문","범죄의 검거 단서[건]","건","6701","7050","7227","7730","5263","2907","3417","3208","3349","3869","4150","4307","3491","3118","2834","3202","3527","4492","5323",
"합계","불심검문","범죄의 검거 단서[건]","건","117179","173130","217658","190011","185092","163535","159384","185884","164139","175757","225983","177363","103302","79981","59552","50169","51070","54786","58120",
"합계","탐문정보","범죄의 검거 단서[건]","건","88668","113921","110789","170283","116510","96830","81189","86844","73942","84623","79795","72259","60879","58558","49967","50007","56200","51044","50101",
"합계","안면식별","범죄의 검거 단서[건]","건","233","193","194","260","304","231","265","310","259","339","300","237","292","256","183","166","208","211","157",
"합계","감식자료","범죄의 검거 단서[건]","건","860","1068","980","1228","1898","1201","1093","1156","1096","1051","831","799","539","772","441","441","406","433","301",
"합계","변사체","범죄의 검거 단서[건]","건","714","792","769","813","738","572","644","664","591","527","551","587","601","520","470","405","404","356","299",
"합계","범죄수법","범죄의 검거 단서[건]","건","664","922","724","1617","1403","988","823","1039","1042","1094","775","818","599","554","373","303","426","337","544",
