"범죄별","기관별","기간별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"합계","합계","계","범죄사건 처리 기간[명]","명","3684581","3811003","4783554","4856515","3863668","3709975","3917665","3928884","","","","","","","","","","","",
"합계","경찰","계","범죄사건 처리 기간[명]","명","1751852","1821141","2310657","2337278","1909337","1802334","1999191","2032847","1987335","2057246","2094912","1899813","1784831","1801364","1731433","1402284","1398452","1403085","1465083",
"합계","경찰","10일 이내","범죄사건 처리 기간[명]","명","145331","220647","331166","374983","537688","615935","591423","600234","533036","484744","539298","458082","365096","336500","279379","217188","180805","201391","224244",
"합계","경찰","20일 이내","범죄사건 처리 기간[명]","명","65665","79131","101963","97513","225703","286183","309196","311274","297666","290689","326826","297113","276776","279541","257557","192726","175099","190877","205371",
"합계","경찰","1개월 이내","범죄사건 처리 기간[명]","명","290099","279096","320043","309610","224464","189935","201230","204482","199956","194469","216394","199983","195919","201652","189828","147828","137704","147106","155038",
"합계","경찰","2개월 이내","범죄사건 처리 기간[명]","명","242091","208007","244668","258389","309243","356582","390675","400953","380563","348746","378969","357271","365281","380392","362134","281612","272638","280829","293961",
"합계","경찰","3개월 이내","범죄사건 처리 기간[명]","명","137907","126501","151210","138677","164614","200073","243336","251178","252648","214141","213313","208649","222984","233950","229433","176324","177002","177007","190493",
"합계","경찰","6개월 이내","범죄사건 처리 기간[명]","명","851862","887063","1141434","1133836","428280","121628","165670","187455","238039","216110","244482","226087","254484","273623","300776","250371","259315","239229","248001",
"합계","경찰","6개월 초과","범죄사건 처리 기간[명]","명","18897","20696","20173","24270","19345","31998","97661","77271","85427","308347","175630","152628","104291","95706","112326","136235","195889","166646","147975",
"합계","검찰","계","범죄사건 처리 기간[명]","명","1932729","1989862","2472897","2519237","1954331","1907641","1918474","1896037","1896648","1966386","2035666","1965237","1803866","1865411","1758122","956939","996622","993059","975128",
"합계","검찰","10일 이내","범죄사건 처리 기간[명]","명","1267894","1340761","1639522","1590917","1253281","1288901","1205177","1193452","1107185","1223779","1239121","1227174","1092857","1097488","1030260","551075","526505","521875","523971",
"합계","검찰","20일 이내","범죄사건 처리 기간[명]","명","260825","265003","329035","349676","249208","223299","243774","238278","254125","246185","257697","231911","218169","211277","176708","132886","136862","131252","128631",
"합계","검찰","1개월 이내","범죄사건 처리 기간[명]","명","109214","114675","154976","171457","127361","112085","129898","128423","136745","136681","141927","117462","117881","116887","99086","85464","95860","93018","95839",
"합계","검찰","2개월 이내","범죄사건 처리 기간[명]","명","115752","112904","144897","171234","126832","118889","125151","120125","132510","120976","129331","121696","122658","128739","123834","73573","87137","85651","77168",
"합계","검찰","3개월 이내","범죄사건 처리 기간[명]","명","120032","99502","138999","165305","131069","77596","78440","79367","94845","87639","91342","89400","85845","95674","94621","47329","54732","50235","43382",
"합계","검찰","6개월 이내","범죄사건 처리 기간[명]","명","54659","54223","61349","66164","61809","79678","112226","112593","137469","124842","138793","139003","130552","164116","168868","59574","84063","96277","88967",
"합계","검찰","6개월 초과","범죄사건 처리 기간[명]","명","4353","2794","4119","4484","4771","7193","23808","23799","33769","26284","37455","38591","35904","51230","64745","7038","11463","14751","17170",
"형법범","합계","계","범죄사건 처리 기간[명]","명","1673296","1640167","2022406","2207636","1886254","1897404","2103508","2107722","","","","","","","","","","","",
"형법범","경찰","계","범죄사건 처리 기간[명]","명","818230","806360","998459","1089383","941401","942775","1091488","1099890","1061302","1089569","1077132","1032284","1049564","1096255","1074676","815260","839514","863620","894278",
"형법범","경찰","10일 이내","범죄사건 처리 기간[명]","명","58820","80157","112531","142764","221523","275876","272588","259263","219367","188883","200112","173171","151103","147188","123748","93006","77917","91877","100693",
"형법범","경찰","20일 이내","범죄사건 처리 기간[명]","명","16442","22575","32338","35070","94045","130733","145349","144347","131783","126733","145348","141588","138615","141840","129960","88612","89252","99346","104550",
"형법범","경찰","1개월 이내","범죄사건 처리 기간[명]","명","110009","102330","122466","136880","105767","97006","105407","106765","99416","94946","108453","108434","110905","115457","108260","75805","77168","84346","87765",
"형법범","경찰","2개월 이내","범죄사건 처리 기간[명]","명","115026","98894","117265","133391","171685","209483","238401","242327","221874","199848","219103","221104","235048","246742","235081","163525","169390","176730","183515",
"형법범","경찰","3개월 이내","범죄사건 처리 기간[명]","명","82023","71376","86317","78582","104503","132394","167522","175050","170952","144132","141950","141156","158873","168896","167037","113949","116551","120616","129685",
"형법범","경찰","6개월 이내","범죄사건 처리 기간[명]","명","429725","426795","522865","558252","235468","82400","113687","131316","168971","157665","165478","160233","187638","208865","231318","181118","177255","173452","179822",
"형법범","경찰","6개월 초과","범죄사건 처리 기간[명]","명","6185","4233","4677","4444","8410","14883","48534","40822","48939","177362","96688","86598","67382","67267","79272","99245","131981","117253","108248",
"형법범","검찰","계","범죄사건 처리 기간[명]","명","855066","833807","1023947","1118253","944853","954629","1012020","1007832","1017202","1038724","1036067","1010855","996110","1068029","1063209","493827","504951","517190","513930",
"형법범","검찰","10일 이내","범죄사건 처리 기간[명]","명","473274","463997","559970","605289","514053","571703","567213","562595","517942","564039","549061","555212","546533","576054","580907","270521","255800","254215","256512",
"형법범","검찰","20일 이내","범죄사건 처리 기간[명]","명","126906","128005","154222","167297","132138","127013","138158","136873","143394","141761","141682","127337","124645","123517","107301","71178","71096","70983","69404",
"형법범","검찰","1개월 이내","범죄사건 처리 기간[명]","명","60257","63344","83966","92017","73901","67140","76709","77138","82139","83653","82536","68646","70285","69525","61998","46730","48483","51462","54919",
"형법범","검찰","2개월 이내","범죄사건 처리 기간[명]","명","70146","69334","87414","100576","83074","75284","80425","77923","84661","78729","79741","75883","78771","81833","80203","39665","45232","47071","43225",
"형법범","검찰","3개월 이내","범죄사건 처리 기간[명]","명","79815","64074","88725","101027","89350","51538","52924","54864","64435","60270","60151","59052","58071","64348","64609","26635","29835","28173","24901",
"형법범","검찰","6개월 이내","범죄사건 처리 기간[명]","명","41866","42777","46615","48990","48382","56532","78359","79650","97795","89834","95309","96725","91628","115089","120362","35081","48088","56287","54218",
