"범죄별","기간별","항목","단위","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년",
"총계","합계","범죄발생부터 인지까지의 기간[건]","건","","","1399085","1494846","1588613","1765887","1732522","1867882","1985980","1977665","2004329","2080901","1893896",
"총계","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","","","267471","306218","385070","461286","461333","547456","618670","668738","663371","26177","661695",
"총계","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","","","87240","89579","86660","91856","90822","99819","92580","76834","82660","2858","39010",
"총계","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","","","45756","45085","45657","46779","47410","51455","50312","41978","41192","2447","39791",
"총계","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","","","26799","27306","29970","32201","33284","44295","41990","32530","32693","1965","51891",
"총계","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","","","74430","91938","113037","111580","105704","128951","139539","128962","132632","5124","70206",
"총계","2일 이내","범죄발생부터 인지까지의 기간[건]","건","","","58613","64034","68356","76034","67948","75752","74199","66733","63634","3520","53048",
"총계","5일 이내","범죄발생부터 인지까지의 기간[건]","건","","","122276","127541","128943","138240","120640","127663","126536","112808","111260","6291","105523",
"총계","10일 이내","범죄발생부터 인지까지의 기간[건]","건","","","96891","102824","104570","105492","97847","104803","110171","100565","97361","7516","97063",
"총계","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","","","162530","161962","164763","164302","166777","183045","190520","192152","196254","27414","182430",
"총계","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","","","145432","140193","135577","145931","146695","160996","169222","178283","182015","29754","172829",
"총계","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","","","311647","338166","326010","392186","394062","343647","372241","378082","401257","1967835","420410",
"형법범","합계","범죄발생부터 인지까지의 기간[건]","건","287451","325238","361175","404965","397580","452260","462253","523609","553673","797395","857488","826886","825840",
"형법범","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","37183","30606","31260","35072","38867","49236","60517","89010","93504","201089","203976","8828","199365",
"형법범","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","5199","8186","8177","8522","9020","10989","10769","17778","16901","29510","32112","1496","22298",
"형법범","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","6659","7717","7705","7736","8435","9306","10160","17575","17989","23058","24044","1267","28202",
"형법범","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","7863","8425","8415","9375","10813","11153","11723","22724","22010","21736","24037","1073","37170",
"형법범","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","13824","14011","14466","16641","18665","19394","20289","39018","40540","55821","60952","1179","39780",
"형법범","2일 이내","범죄발생부터 인지까지의 기간[건]","건","11494","13052","12270","13603","13974","14390","14953","23780","22717","29538","30434","1209","29336",
"형법범","5일 이내","범죄발생부터 인지까지의 기간[건]","건","21516","17741","17206","18803","20020","20660","21006","29488","29757","41894","43040","2228","49086",
"형법범","10일 이내","범죄발생부터 인지까지의 기간[건]","건","12832","12398","11948","13014","13233","13752","14244","19016","20081","29420","30329","2154","36697",
"형법범","30일 이내","범죄발생부터 인지까지의 기간[건]","건","23606","","","","","","","","","","","","",
"형법범","90일 이내","범죄발생부터 인지까지의 기간[건]","건","26835","","","","","","","","","","","","",
"형법범","90일 이상","범죄발생부터 인지까지의 기간[건]","건","120440","","","","","","","","","","","","",
"형법범","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","","23626","23004","23710","23931","24858","26126","31769","34309","52299","54383","5058","55058",
"형법범","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","","36511","36700","38409","38179","40851","39960","43897","48558","70293","73882","6486","68578",
"형법범","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","","152965","190024","220080","202443","237671","232506","189554","207307","242737","280299","795908","260270",
"재산범죄","합계","범죄발생부터 인지까지의 기간[건]","건","185929","222075","264914","304260","295981","338943","319627","368404","392473","415572","470826","447163","442015",
"재산범죄","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","15247","14293","15104","17776","20188","25168","25874","49908","51773","46223","48079","2218","47439",
"재산범죄","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","2252","3776","4221","4615","5161","6007","4917","10652","9826","7557","8769","345","6185",
"재산범죄","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","3175","3485","4077","4387","5158","5475","5170","12206","12516","9247","10444","382","12206",
