"범죄별","발생지별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"절도","종로","범죄 발생지","","1932","2308","2485","2258","2202","1949","1648","1488","1519","1189","1081","1318","1174","1182",
"절도","중구","범죄 발생지","","2254","2398","2597","2565","2539","2147","1839","1858","2205","1641","1301","1376","1526","1429",
"절도","용산","범죄 발생지","","1603","1556","1574","1603","1593","1542","1385","1133","1020","1126","959","986","987","1105",
"절도","성동","범죄 발생지","","1389","1738","1620","1755","1608","1293","1074","998","976","1016","907","983","891","970",
"절도","광진","범죄 발생지","","2406","2899","3135","3169","3012","2646","2178","1767","1870","1665","1419","1669","1619","1321",
"절도","동대문","범죄 발생지","","2025","2193","2139","1816","1985","1940","1554","1453","1542","1444","1246","1561","1280","1625",
"절도","중랑","범죄 발생지","","1896","2165","2048","2382","2125","1687","1536","1527","1659","1510","1399","1508","1404","1441",
"절도","성북","범죄 발생지","","1863","2199","2292","2136","1788","1478","1347","1162","1087","996","891","1139","983","884",
"절도","강북","범죄 발생지","","1506","1357","1463","1505","1441","1227","1014","1116","1228","780","786","876","919","967",
"절도","도봉","범죄 발생지","","1413","1709","1531","1349","1066","866","634","785","791","871","774","968","1005","801",
"절도","노원","범죄 발생지","","1731","2303","2307","2404","2193","1854","1540","1414","1505","1402","1356","1503","1631","1508",
"절도","은평","범죄 발생지","","1964","2533","2400","2354","1911","1668","1388","1275","1566","1367","1424","1493","1610","1520",
"절도","서대문","범죄 발생지","","1862","4023","4134","1871","1797","1498","1229","1061","1217","1074","1024","1111","1190","1012",
"절도","마포","범죄 발생지","","2122","2936","2413","2787","2584","2541","2097","2023","2215","1500","1517","1458","1479","1478",
"절도","양천","범죄 발생지","","2009","1979","2035","2058","1891","1720","1591","1384","1483","1528","1350","1482","1409","1513",
"절도","강서","범죄 발생지","","2767","2802","2626","2318","2089","1953","1887","1729","2053","1691","1533","1997","1790","1672",
"절도","구로","범죄 발생지","","1989","2620","2434","2370","2311","1910","1732","1724","1917","1759","1393","1566","1636","1574",
"절도","금천","범죄 발생지","","1362","1474","1420","1385","1388","1117","988","1020","1132","999","1013","1115","983","891",
"절도","영등포","범죄 발생지","","2697","3055","3198","3108","2973","2355","2311","2287","2418","2193","1717","2062","1858","1793",
"절도","동작","범죄 발생지","","1701","2016","2366","1790","1880","1234","1230","1153","1333","1355","1136","1199","1189","1091",
"절도","관악","범죄 발생지","","2842","3240","3645","3192","2881","2256","2134","2171","2260","2220","1857","1971","2003","1965",
"절도","서초","범죄 발생지","","2295","2706","2952","2766","2643","2197","1821","1866","2289","2027","1506","1920","1944","1586",
"절도","강남","범죄 발생지","","4211","4656","4456","3886","3854","3587","3144","3022","2986","2958","2384","2520","2484","2101",
"절도","송파","범죄 발생지","","3998","4030","3905","4190","3242","2552","2279","2356","2413","2431","2026","2215","2415","2501",
"절도","강동","범죄 발생지","","2414","2525","2547","2430","2368","1755","1648","1516","1654","1636","1610","1672","1677","1665",
"절도","중구","범죄 발생지","","821","969","879","918","936","911","1021","939","705","697","583","615","657","578",
"절도","서구","범죄 발생지","","1410","923","900","835","783","769","672","720","609","459","417","552","714","664",
"절도","동구","범죄 발생지","","1103","1048","969","780","956","772","676","592","724","597","503","587","588","600",
"절도","영도","범죄 발생지","","652","607","583","529","517","559","411","327","353","375","307","367","468","445",
"절도","부산진","범죄 발생지","","3899","4286","3796","3337","3322","3006","2469","2357","2443","2327","2178","2355","2590","2678",
"절도","동래","범죄 발생지","","1882","1740","1860","1647","1320","1118","1108","1050","936","1017","926","909","1331","1264",
"절도","남구","범죄 발생지","","1330","1639","1605","1728","1349","1062","1053","824","936","866","679","658","683","863",
"절도","북구","범죄 발생지","","1471","1583","1360","1259","1043","1037","904","792","807","1033","909","1080","1009","1139",
"절도","해운대","범죄 발생지","","2584","2823","2531","2288","2350","1559","1539","1347","1307","1335","1233","1553","1536","1676",
"절도","사하","범죄 발생지","","1819","1875","1589","1714","1661","1148","1082","1042","1019","1032","909","831","939","955",
"절도","금정","범죄 발생지","","2000","1944","1814","1445","1245","1017","919","943","1031","948","775","818","880","880",
"절도","강서","범죄 발생지","","657","646","574","502","529","506","520","484","478","450","361","418","475","448",
"절도","연제","범죄 발생지","","1149","1281","1292","1031","1009","812","876","799","887","917","713","695","930","835",
"절도","수영","범죄 발생지","","1274","1416","1398","1369","1093","815","791","791","803","680","686","680","668","794",
"절도","사상","범죄 발생지","","1824","2144","2177","1968","1432","1162","1275","998","1023","970","954","997","952","798",
"절도","기장군","범죄 발생지","","830","582","578","596","658","555","527","408","499","540","565","629","654","450",
"절도","중구","범죄 발생지","","1356","1907","2271","1835","1674","1159","1109","1140","1482","1214","1335","1223","1235","1188",
"절도","동구","범죄 발생지","","2122","2225","2707","2380","1754","1213","1262","1311","1265","1224","1333","1150","1543","1272",
"절도","서구","범죄 발생지","","1428","1630","1940","1296","1154","755","704","669","689","747","765","1279","867","1025",
"절도","남구","범죄 발생지","","1274","1273","1506","1073","1132","705","650","540","726","679","648","699","656","681",
