"범죄별","발생지별","항목","단위","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년",
"절도","종로","범죄 발생지","","","","","","","","","","","","1182","1252","1004","974","977","1508","1699",
"절도","중구","범죄 발생지","","","","","","","","","","","","1956","1519","1336","1350","1312","1593","1853",
"절도","용산","범죄 발생지","","","","","","","","","","","","1005","641","659","745","719","1033","1217",
"절도","성동","범죄 발생지","","","","","","","","","","","","1098","1192","977","1002","1190","1365","1349",
"절도","광진","범죄 발생지","","","","","","","","","","","","1361","1076","1768","1859","2110","1804","2458",
"절도","동대문","범죄 발생지","","","","","","","","","","","","1002","928","748","840","741","1332","1773",
"절도","중랑","범죄 발생지","","","","","","","","","","","","838","1107","1046","971","1022","1148","1744",
"절도","성북","범죄 발생지","","","","","","","","","","","","1676","1585","1103","1112","1100","1382","1998",
"절도","강북","범죄 발생지","","","","","","","","","","","","797","695","689","743","650","804","1382",
"절도","도봉","범죄 발생지","","","","","","","","","","","","687","840","831","1062","1148","959","1047",
"절도","노원","범죄 발생지","","","","","","","","","","","","1414","1586","1432","1273","923","1273","1520",
"절도","은평","범죄 발생지","","","","","","","","","","","","1343","1209","1388","1298","1158","1439","1640",
"절도","서대문","범죄 발생지","","","","","","","","","","","","1372","1429","1416","1617","1342","2096","1726",
"절도","마포","범죄 발생지","","","","","","","","","","","","2031","1851","1262","913","719","1070","1689",
"절도","양천","범죄 발생지","","","","","","","","","","","","1490","1120","1029","1006","1081","1354","1574",
"절도","강서","범죄 발생지","","","","","","","","","","","","1904","1751","1255","1355","1331","1597","2690",
"절도","구로","범죄 발생지","","","","","","","","","","","","1532","1615","1193","1217","1200","1544","2230",
"절도","금천","범죄 발생지","","","","","","","","","","","","1209","1193","826","869","916","1198","1368",
"절도","영등포","범죄 발생지","","","","","","","","","","","","1952","1758","1393","1457","1178","1601","2642",
"절도","동작","범죄 발생지","","","","","","","","","","","","1678","1249","803","929","927","1236","1659",
"절도","관악","범죄 발생지","","","","","","","","","","","","2213","2275","1750","1890","1666","1855","2419",
"절도","서초","범죄 발생지","","","","","","","","","","","","1544","1358","1045","1208","986","1656","2051",
