"범죄별","기간별","기관별","항목","단위","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년",
"총계","계","합계","범죄사건 처리 기간[명]","명","","3455141","3661022","3766337","4154509","4346610","4221299","4371080","4312974","4279951","4408875","3771528",
"총계","계","경찰","범죄사건 처리 기간[명]","명","","1650736","1738473","1780083","1957944","2039786","1979664","2049500","2015944","1983006","2124780","1805957",
"총계","계","검찰","범죄사건 처리 기간[명]","명","","1804405","1922549","1986254","2196565","2306824","2241635","2321580","2297030","2296945","2284095","1965571",
"총계","10일 이내","경찰","범죄사건 처리 기간[명]","명","","546849","572882","565293","639154","664899","614477","628269","575689","512463","228765","163051",
"총계","10일 이내","검찰","범죄사건 처리 기간[명]","명","","786739","744504","661193","731337","689579","665935","685414","707777","703648","1292511","1206436",
"총계","20일 이내","경찰","범죄사건 처리 기간[명]","명","","267942","261749","273044","297094","298086","312517","329989","303996","276402","105126","75602",
"총계","20일 이내","검찰","범죄사건 처리 기간[명]","명","","540541","601963","550497","566942","580257","600406","622306","551617","589325","521014","352946",
"총계","1개월 이내","경찰","범죄사건 처리 기간[명]","명","","384844","422816","437780","478181","511274","496321","525874","562618","571373","466935","334645",
"총계","1개월 이내","검찰","범죄사건 처리 기간[명]","명","","295604","453365","643849","725811","883812","881398","949489","962384","922851","181746","133907",
"총계","2개월 이내","경찰","범죄사건 처리 기간[명]","명","","294839","303781","316033","326160","326866","343212","338349","354445","385610","365575","274314",
"총계","2개월 이내","검찰","범죄사건 처리 기간[명]","명","","71266","57764","72387","103782","82282","48655","29713","26175","44891","125788","112920",
"총계","3개월 이내","경찰","범죄사건 처리 기간[명]","명","","102008","113523","116385","135179","148804","144009","148426","140397","154535","178014","140573",
"총계","3개월 이내","검찰","범죄사건 처리 기간[명]","명","","83384","43392","38878","48371","51161","30631","22954","41627","31386","116214","109002",
"총계","6개월 이내","경찰","범죄사건 처리 기간[명]","명","","36801","39729","46236","55311","59770","48153","56177","53808","61802","757832","799465",
"총계","6개월 이내","검찰","범죄사건 처리 기간[명]","명","","21221","19326","17636","19408","18663","13741","11205","7160","4633","44085","46377",
"총계","6개월 초과","경찰","범죄사건 처리 기간[명]","명","","17453","23993","25312","26865","30087","20975","22416","24991","20821","22533","18307",
"총계","6개월 초과","검찰","범죄사건 처리 기간[명]","명","","5650","2235","1814","914","1070","869","499","290","211","2737","3983",
"형법범","계","합계","범죄사건 처리 기간[명]","명","827918","962311","1076007","995502","1157867","1258106","1098596","1086176","1860440","1901545","1847819","1694103",
"형법범","계","경찰","범죄사건 처리 기간[명]","명","384475","444386","491806","451032","524850","572113","498604","492510","865812","876405","897730","828778",
"형법범","계","검찰","범죄사건 처리 기간[명]","명","443443","517925","584201","544470","633017","685993","599992","593666","994628","1025140","950089","865325",
"형법범","10일 이내","경찰","범죄사건 처리 기간[명]","명","122053","133022","141534","123879","151036","163617","140560","137452","253399","232225","92149","64903",
"형법범","10일 이내","검찰","범죄사건 처리 기간[명]","명","211778","232390","233207","187824","222042","208410","176023","167550","271114","283277","462180","450885",
"형법범","20일 이내","경찰","범죄사건 처리 기간[명]","명","50577","48708","48209","43937","52549","57673","54422","51446","106457","96625","28556","19046",
"형법범","20일 이내","검찰","범죄사건 처리 기간[명]","명","121462","129163","166455","140888","153819","166014","156803","155395","251650","273046","194393","152584",
"형법범","1개월 이내","경찰","범죄사건 처리 기간[명]","명","84037","96928","112171","101681","115404","131243","111102","104330","205007","207811","161045","128058",
"형법범","1개월 이내","검찰","범죄사건 처리 기간[명]","명","54213","77704","120906","161068","194190","247361","225065","241633","427864","420459","94862","73161",
"형법범","2개월 이내","경찰","범죄사건 처리 기간[명]","명","78706","100989","110505","103436","108702","109876","103224","98358","172762","196602","169201","136066",
"형법범","2개월 이내","검찰","범죄사건 처리 기간[명]","명","22027","28365","26352","25859","31428","29618","18789","11591","14773","25935","79853","72679",
"형법범","3개월 이내","경찰","범죄사건 처리 기간[명]","명","30322","42052","49632","46387","57788","65141","58660","64157","82013","93524","102534","86294",
"형법범","3개월 이내","검찰","범죄사건 처리 기간[명]","명","22819","34531","23491","180057","20352","22833","14811","10802","23461","18701","82241","76444",
