"죄종별(1)",죄종별(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상
"계",소계,1752598,175531,101392,88871,178310,99469,162018,192126,317650,437231,1793400,130371,106086,94612,191682,156610,169246,199880,315551,429362,1857276,127974,109583,95392,211569,162572,173869,201643,329374,445300,1778966,124068,101193,93165,198855,159772,173441,201323,310524,416625,1861657,124560,104919,102344,210771,173791,189338,209512,309885,436537,1849450,121805,107865,108645,227039,181967,197666,212977,297734,393752,1662341,111172,98922,97823,202798,166767,178130,189354,258892,358483,1580751,99089,89509,87417,179038,157707,166467,172965,223374,405185,1611906,94095,86471,88488,183235,169090,172107,175503,204508,438409,1587866,86398,81043,81052,174325,172610,177378,176642,190384,448034,1429826,57763,50928,68799,147157,164739,171860,171036,194712,402832,1482433,71808,65179,69113,135849,159299,166585,162138,194969,457493
"강력범죄",소계,26699,3716,3982,2312,1425,1095,1954,2741,4141,5333,25152,3023,3620,1947,1453,1549,1897,2440,4128,5095,26962,3040,3430,2058,1625,1651,2150,2700,4407,5901,25277,2743,3039,1926,1526,1681,2174,2671,4045,5472,25334,2686,2964,1861,1640,1689,2109,2767,3943,5675,25765,2978,3068,1962,1652,1808,2252,3039,4360,4646,27274,3182,3377,2205,1992,2064,2475,3296,4469,4214,26787,2944,3252,1957,2005,2041,2406,3115,4335,4732,26476,2920,3316,1977,1799,1966,2447,3089,4215,4747,24332,2642,2754,1478,1736,1913,2203,2864,4160,4582,22476,1908,1752,1204,1542,1912,2254,2946,4550,4408,24954,2318,2252,1459,1644,1909,2342,3009,4675,5346
"강력범죄",살인기수,427,55,34,51,35,15,48,63,75,51,411,36,34,26,51,46,46,56,69,47,342,34,25,25,37,37,46,49,60,29,372,32,38,27,42,44,41,58,56,34,365,21,37,30,47,37,40,51,57,45,356,30,32,32,36,39,51,41,60,35,301,20,28,31,21,38,38,53,43,29,309,24,22,27,36,32,27,49,37,55,297,15,21,20,28,38,33,43,49,50,308,20,30,23,29,23,34,53,34,62,270,18,17,17,29,24,32,49,38,46,275,16,29,24,25,28,36,16,35,66
"강력범죄",살인미수등,777,90,83,51,57,44,72,110,149,121,584,59,45,24,48,44,61,105,123,75,587,51,48,34,65,50,67,76,108,88,541,50,48,38,51,47,60,77,99,71,564,52,48,43,54,46,72,85,99,65,558,47,38,42,53,62,70,67,131,48,524,47,41,44,62,47,62,72,98,51,488,41,34,36,40,41,49,83,101,63,482,33,50,29,44,46,60,66,82,72,416,35,27,40,38,34,49,46,78,69,388,21,33,24,42,30,42,59,62,75,427,36,33,30,48,35,45,46,76,78
"강력범죄",강도,3994,609,820,240,237,179,280,341,466,822,2587,381,594,136,135,169,155,228,349,440,1980,277,399,109,143,101,158,159,270,364,1586,249,297,86,92,120,115,142,204,281,1446,232,262,79,105,97,91,145,184,251,1149,147,200,78,71,103,86,136,142,186,967,132,162,58,69,74,87,99,134,152,821,110,134,49,75,64,67,89,97,136,798,105,131,44,59,68,72,81,107,131,663,80,93,34,57,63,71,61,90,114,495,38,54,28,47,51,55,57,92,73,516,43,69,25,44,40,62,68,75,90
"강력범죄",강간・강제추행,19498,2614,2761,1838,958,748,1349,1976,3110,4144,19670,2278,2675,1654,1073,1142,1423,1799,3248,4378,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"강력범죄",강간,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5753,672,793,401,305,291,324,398,723,1846,5078,586,664,337,279,279,278,336,646,1673,5151,601,734,320,340,273,267,331,596,1689,5155,695,743,366,301,294,287,405,703,1361,5223,720,886,383,353,309,330,397,688,1157,5293,665,865,375,341,330,349,422,676,1270,5310,630,885,417,293,325,311,425,719,1305,5313,636,750,358,337,331,326,457,731,1387,5263,600,613,264,238,327,333,478,942,1468,5467,603,653,280,289,325,356,469,856,1636
"강력범죄",유사강간,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,19,15,7,8,13,9,5,10,46,375,48,48,27,20,24,29,33,37,109,518,71,72,39,19,36,30,45,55,151,583,68,80,39,44,29,54,47,78,144,636,82,101,58,43,49,50,51,73,129,776,96,129,71,48,47,53,59,120,153,782,102,110,57,62,60,55,66,89,181,823,96,127,58,54,45,59,70,142,172,814,107,125,48,33,49,62,76,127,187,947,113,132,55,52,43,58,91,143,260
