"죄종별(1)",죄종별(2),2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일
"계",소계,1752598,206872,251661,261151,257864,260594,271837,242619,1793400,215700,253581,266854,261605,267294,279603,248763,1857276,219141,270664,275886,273680,272350,290897,254658,1778966,215214,254123,264981,261407,260482,275787,246972,1861657,224673,268439,275971,275298,272951,287124,257201,1849450,229170,262770,273655,270657,273068,285209,254921,1662341,205729,237218,244294,244731,248464,254521,227384,1580751,186472,231545,235026,234332,237403,247568,208405,1611906,185520,242481,241591,240590,241974,251352,208398,1587866,178396,240514,240631,237590,239912,248331,202492,1429826,155229,221260,218555,217179,217785,221779,178039,1482433,163152,223326,225417,223678,226820,234383,185657
"강력범죄",소계,26699,3912,3604,3844,3715,3742,3790,4092,25152,3793,3297,3487,3534,3406,3602,4033,26962,3997,3704,3713,3766,3744,3776,4262,25277,3758,3312,3643,3476,3494,3578,4016,25334,3907,3494,3436,3464,3350,3613,4070,25765,3931,3385,3475,3416,3456,3902,4200,27274,4134,3558,3643,3720,3807,4037,4375,26787,4154,3529,3619,3693,3659,3834,4299,26476,4081,3519,3607,3634,3445,3880,4310,24332,3637,3320,3121,3402,3312,3644,3896,22476,3251,3267,2953,3119,3127,3228,3531,24954,3596,3445,3420,3403,3411,3653,4026
"강력범죄",살인기수,427,67,68,59,68,51,62,52,411,53,61,62,59,63,59,54,342,46,66,52,66,41,34,37,372,47,59,68,56,49,45,48,365,41,60,58,59,59,39,49,356,50,55,43,61,40,54,53,301,30,51,42,43,57,45,33,309,54,40,38,53,41,54,29,297,38,45,48,40,37,49,40,308,58,53,53,43,30,42,29,270,39,34,38,32,37,52,38,275,32,43,43,46,39,37,35
"강력범죄",살인미수등,777,122,112,122,108,99,102,112,584,88,78,96,82,81,79,80,587,101,81,81,79,90,78,77,541,73,74,85,82,87,74,66,564,94,80,65,101,85,68,71,558,91,86,78,81,70,81,71,524,74,76,78,73,67,73,83,488,72,74,62,68,76,67,69,482,71,70,68,62,73,85,53,416,57,68,50,60,62,51,68,388,53,64,56,55,48,59,53,427,65,62,76,54,57,58,55
"강력범죄",강도,3994,539,558,588,604,545,597,563,2587,361,358,357,363,399,359,390,1980,285,296,275,288,286,290,260,1586,220,240,209,225,231,226,235,1446,229,223,205,183,205,206,195,1149,167,157,166,165,163,175,156,967,151,123,139,142,139,142,131,821,126,120,133,116,117,101,108,798,111,113,116,105,124,121,108,663,77,118,98,103,105,84,78,495,84,53,68,72,66,88,64,516,82,80,91,64,58,73,68
"강력범죄",강간・강제추행,19498,2875,2572,2758,2680,2788,2758,3067,19670,2975,2515,2711,2774,2613,2842,3240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"강력범죄",강간,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5753,925,759,800,711,767,819,972,5078,789,628,697,673,680,746,865,5151,875,670,691,683,629,699,904,5155,873,655,701,655,615,760,896,5223,890,690,667,680,665,757,874,5293,906,698,709,743,646,699,892,5310,869,686,734,719,682,722,898,5313,909,699,667,712,701,760,865,5263,878,773,656,654,706,695,901,5467,869,770,728,718,681,772,929
"강력범죄",유사강간,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,22,15,15,18,17,19,26,375,65,46,53,47,44,45,75,518,92,58,67,76,54,66,105,583,86,67,93,82,65,82,108,636,107,81,79,82,67,116,104,776,127,113,103,96,99,99,139,782,145,99,109,92,89,112,136,823,118,96,100,135,112,111,151,814,125,139,93,122,106,100,129,947,145,131,123,137,125,129,157
