"죄종별(1)",죄종별(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타
"계",소계,1752598,59344,85371,4942,709011,2055,6626,6941,3448,34555,12632,22667,100724,136437,13051,8504,3363,5867,2329,16866,2136,4376,5801,30858,10793,3197,8665,14124,4499,27,896,26021,1526,13233,391713,1793400,52509,77671,4254,689785,1987,5926,6995,3335,28977,10504,22209,84848,128343,12948,8036,2794,4075,1783,16404,2002,4717,7801,28095,9856,2895,7804,12280,4624,34,576,20637,1662,11153,515881,1857276,77667,106024,3659,827395,3146,10951,12259,3551,42924,16447,31710,123372,142511,13991,10967,4258,11361,2723,26222,2483,7097,8798,30709,11552,3789,9701,14870,5862,50,744,32775,3271,13387,241050,1778966,60265,79371,4305,786803,2480,7458,10863,2648,28373,10657,18240,88059,126828,10648,7551,2514,6619,2477,9998,1509,5618,5895,26212,10232,3185,8475,5377,4474,70,381,24999,1795,7543,407044,1861657,62187,82428,4481,814101,2534,7871,11047,2570,27573,9897,16451,80005,121264,10240,7221,3112,7525,3032,12143,1432,5989,5591,22402,9587,2919,8642,15779,3600,101,287,24331,1981,7790,465544,1849450,63578,74128,5111,840857,2614,7448,10780,2464,26906,9061,17939,78537,113617,8650,7539,2535,5180,2839,10199,1260,5677,5084,17904,9579,2691,8429,16266,3131,107,237,23259,2050,7177,456617,1662341,58288,64757,6992,726140,2466,6977,10780,2109,22449,8131,15958,74799,104893,8627,8028,1911,6066,3123,10644,1327,5203,5155,18682,9443,2753,8680,15460,2720,113,239,20936,2081,5339,421072,1580751,82841,81199,6714,644537,3546,9782,13548,3001,33272,13825,21980,112928,109388,8843,8700,2221,8527,3903,17454,1893,6770,6606,21032,11749,3561,9003,17106,2642,128,331,24795,4224,7485,277217,1611906,96879,84895,7762,625533,4155,11221,14355,3341,33591,14809,21813,114046,108077,8295,7870,2446,9735,3957,19256,2200,7288,7179,19867,11979,3263,9878,20287,2266,111,339,26356,4529,6917,297411,1587866,100386,79936,7358,603582,3471,12751,14697,3691,31629,12757,18739,99040,99958,7895,6804,2135,8156,3088,15955,1534,6071,4375,12128,10612,2259,9871,25483,733,119,253,27839,3852,5310,345399,1429826,106001,71347,8152,551630,2808,12965,15489,3912,30962,11232,17344,60838,77461,7105,5598,2041,8538,2946,14245,1261,5824,4983,6734,9144,1818,9579,16450,349,128,210,26553,3154,3652,329373,1482433,108301,69742,10233,501535,3047,14738,16435,4138,35593,11355,17055,79990,74327,6305,5813,3614,10367,3589,15778,1657,6521,6306,5977,8782,1828,9127,21215,1026,129,218,27321,3528,3585,393258
"강력범죄",소계,26699,2762,3238,19,4181,16,101,382,24,353,175,2801,1704,484,73,29,50,161,929,838,37,228,159,41,177,83,118,8,4,2,10,394,229,65,6824,25152,2408,2642,12,3686,9,64,343,18,251,119,2409,1471,436,54,32,33,183,474,757,37,216,183,19,154,66,95,7,5,-,9,280,207,60,8413,26962,3363,3429,13,5575,15,142,448,19,434,228,3580,2452,601,98,26,43,334,614,1418,67,325,261,32,266,91,126,10,4,6,11,350,290,74,2217,25277,2670,2787,17,4469,11,99,322,16,277,145,2454,2187,586,69,16,33,243,618,1043,57,271,273,20,242,88,94,4,7,3,5,285,161,59,5646,25334,2504,2703,23,4232,16,76,323,10,251,136,2336,2119,580,62,16,33,284,790,976,53,297,310,31,266,93,97,9,7,7,5,255,158,52,6224,25765,2545,2545,18,4183,12,81,266,10,271,159,2187,2400,586,71,28,26,299,787,1157,57,286,327,19,272,73,93,9,11,7,7,244,169,63,6497,27274,2759,2391,19,4199,20,75,306,14,291,122,2338,2585,529,72,27,33,367,1047,1143,75,287,375,27,277,81,64,11,15,7,3,224,138,51,7302,26787,3570,3017,21,3895,35,133,381,25,421,268,2927,4003,647,76,34,32,444,842,1490,107,296,388,31,310,92,78,217,17,12,5,260,190,69,2454,26476,3892,2725,18,3932,28,105,360,24,494,273,3082,4233,590,83,26,25,432,879,1470,115,301,384,18,397,87,93,7,14,12,7,225,168,73,1904,24332,3892,2710,11,3470,28,122,364,16,493,276,2861,3858,666,62,30,27,303,507,1344,97,240,224,27,396,73,59,12,18,13,2,233,143,61,1694,22476,4212,2707,21,3170,23,132,273,17,477,197,2810,2157,721,91,23,29,328,605,1093,95,244,286,13,438,52,64,8,13,8,3,188,134,38,1806,24954,4176,2529,14,3810,35,106,319,14,480,210,2801,3176,684,67,23,24,329,722,1226,101,305,373,26,353,58,70,9,21,11,3,230,142,49,2458
"강력범죄",살인기수,427,123,103,1,46,-,-,1,-,3,3,25,15,12,3,1,2,-,-,2,-,2,-,-,16,2,4,1,-,-,-,8,1,-,53,411,103,89,1,52,-,-,-,-,3,-,19,20,4,1,1,1,1,-,8,-,3,1,-,7,3,10,1,-,-,-,5,1,1,76,342,97,101,-,36,-,-,1,-,1,1,15,9,11,4,-,-,2,-,5,-,5,-,-,6,2,11,2,-,-,-,4,2,-,27,372,95,95,-,59,-,1,1,-,2,-,21,12,8,4,1,1,1,-,3,-,-,-,-,6,1,8,1,-,-,-,7,-,1,44,365,84,101,-,43,-,1,1,-,1,-,16,11,5,1,-,-,-,-,6,-,2,1,-,9,1,1,3,-,-,-,6,-,-,72,356,83,101,-,28,-,1,-,-,2,-,22,15,2,2,-,-,-,-,8,-,4,-,-,6,2,10,5,-,-,-,10,1,-,54,301,95,71,1,24,1,-,-,-,-,1,14,13,6,1,-,1,-,-,3,-,3,1,-,3,2,6,3,-,-,-,2,-,-,50,309,96,85,-,27,-,-,1,-,2,-,12,16,5,3,1,1,-,-,8,-,2,-,-,5,1,7,1,-,-,-,5,1,1,29,297,111,64,-,30,-,-,-,-,5,-,17,11,4,1,-,-,1,-,3,-,-,-,-,18,-,11,2,-,-,1,4,-,1,13,308,111,80,-,42,-,-,-,-,2,2,7,6,7,2,1,1,-,-,5,-,1,-,1,8,3,5,-,-,-,1,2,1,-,20,270,92,57,1,43,-,-,-,-,-,-,19,5,5,3,2,-,-,-,7,-,1,-,-,10,-,2,1,-,-,-,2,-,1,19,275,114,60,-,28,-,-,1,-,1,1,9,8,8,1,-,-,1,-,3,-,3,1,-,7,1,3,3,-,-,-,5,-,-,17
"강력범죄",살인미수등,777,97,163,-,171,-,-,2,1,12,7,16,65,20,5,1,2,-,-,19,2,7,1,-,10,5,2,3,-,-,-,11,2,1,152,584,88,74,2,112,-,3,3,-,3,3,10,36,30,3,-,-,2,-,12,-,4,2,1,4,1,5,-,-,-,1,10,-,-,175,587,104,130,2,143,-,3,1,-,11,1,18,64,22,3,2,-,2,-,16,1,4,2,-,6,1,3,1,-,-,2,8,-,-,37,541,90,102,3,126,-,-,1,-,3,4,16,25,14,4,-,1,4,-,9,-,2,2,-,6,2,6,1,-,-,-,5,-,2,113,564,92,88,-,134,-,2,-,-,7,4,8,31,16,1,-,1,1,-,9,-,7,2,-,5,3,4,2,-,-,-,11,2,-,134,558,79,88,1,128,-,1,-,-,3,3,7,34,17,3,1,2,2,-,5,-,5,1,1,8,2,5,1,-,-,-,15,1,-,145,524,85,90,1,112,-,1,-,-,2,-,20,27,15,2,-,1,1,-,4,-,2,-,1,6,1,1,2,-,-,-,7,1,-,142,488,117,107,1,101,-,3,3,1,5,2,16,42,21,2,3,2,2,-,9,2,2,1,1,12,2,2,-,1,-,1,4,1,-,22,482,116,110,-,114,-,-,3,-,1,1,10,38,9,4,1,-,2,-,8,-,9,1,-,7,1,6,1,-,-,-,13,-,2,25,416,99,92,-,96,-,1,1,1,6,3,10,30,16,1,-,-,1,-,2,-,3,-,-,8,1,2,3,-,-,-,11,1,-,28,388,116,67,1,87,-,3,3,-,3,1,11,28,11,2,3,-,1,-,1,-,1,1,-,9,1,2,-,-,-,-,7,1,-,28,427,123,85,-,105,-,1,-,1,4,-,5,24,13,2,-,1,1,-,8,-,2,-,1,6,1,3,-,-,-,-,5,2,1,33
"강력범죄",강도,3994,323,413,4,1078,5,57,291,10,125,24,195,257,111,12,3,6,15,3,62,4,29,14,21,4,11,16,-,-,1,1,102,16,20,761,2587,141,238,1,628,1,30,257,6,73,10,85,132,32,5,2,2,9,2,47,2,18,7,9,9,1,6,-,-,-,-,48,5,17,764,1980,169,222,1,630,1,41,246,4,69,19,101,142,50,1,2,3,3,-,44,3,12,6,13,13,11,8,-,-,3,1,45,10,11,96,1586,138,182,2,423,-,26,154,1,36,10,89,101,33,3,3,-,3,1,13,-,21,2,12,8,6,4,-,-,-,-,44,2,6,263,1446,97,143,3,408,1,11,157,3,31,7,109,85,32,5,2,1,2,1,23,-,7,2,16,2,4,12,-,-,-,-,32,4,5,241,1149,74,114,2,339,1,23,85,1,34,6,68,75,30,3,2,1,1,-,22,-,7,3,3,5,1,6,-,-,-,-,28,3,10,202,967,82,86,1,261,-,14,83,1,21,5,71,62,24,2,1,1,2,-,15,1,6,5,10,1,5,7,1,-,-,-,18,4,5,172,821,78,83,-,252,1,16,82,3,35,1,80,56,23,3,2,1,3,-,11,1,5,1,15,2,3,4,2,-,-,-,9,3,6,40,798,106,89,1,221,-,10,73,3,29,8,79,53,21,1,-,3,4,1,13,-,7,-,4,6,1,7,-,-,-,-,9,1,5,43,663,77,54,1,164,1,17,68,1,28,15,63,61,19,-,2,1,1,-,19,-,6,1,2,1,1,4,-,-,-,-,19,-,3,34,495,78,47,1,114,2,10,39,3,32,3,47,27,15,2,-,1,2,-,8,-,3,1,2,3,1,4,-,-,-,-,10,3,1,36,516,62,46,-,141,-,12,32,1,27,4,48,42,13,3,2,-,5,1,15,-,-,-,2,-,-,3,-,-,1,-,21,1,4,30
"강력범죄",강간・강제추행,19498,1882,2221,13,2658,11,38,87,13,154,110,2520,1283,276,29,15,23,144,923,736,31,165,124,12,130,52,73,2,4,1,7,204,203,41,5313,19670,1866,1963,8,2699,6,28,82,12,145,77,2271,1239,307,29,14,18,167,471,680,32,183,163,5,122,45,65,5,5,-,8,162,195,40,6558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"강력범죄",강간,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5753,1070,1179,3,340,-,1,8,-,39,16,1869,314,79,5,4,5,2,-,140,4,41,28,1,24,13,40,1,-,1,3,70,72,6,375,5078,882,954,-,249,-,-,4,-,32,19,1447,281,58,4,2,12,3,-,122,6,37,21,1,24,21,34,-,2,-,3,52,42,3,763,5151,908,994,1,243,-,1,5,-,35,19,1364,255,62,3,-,5,2,-,124,1,30,28,1,18,22,26,-,-,-,2,57,46,6,893,5155,1027,938,3,199,1,1,3,-,27,13,1319,269,66,7,3,6,1,1,135,4,24,25,-,11,12,24,-,-,-,2,47,56,5,926,5223,1030,896,1,184,-,3,4,-,16,10,1411,224,38,2,4,2,3,-,115,-,24,26,1,13,14,9,-,-,-,3,48,47,2,1093,5293,1308,1074,-,160,2,2,3,1,39,17,1582,282,49,5,2,3,2,-,130,6,22,25,-,16,8,17,1,-,-,2,54,62,1,418,5310,1432,999,-,158,1,1,7,-,27,21,1687,297,42,5,2,4,-,-,135,4,25,16,-,15,14,8,-,1,-,1,37,59,2,310,5313,1516,958,3,157,-,-,5,-,42,15,1690,256,58,2,-,4,2,1,146,7,15,12,-,18,10,12,1,-,-,-,37,44,3,299,5263,1561,976,2,127,-,-,1,-,33,15,1692,158,41,2,1,5,1,-,136,2,17,16,-,15,8,8,-,1,-,1,20,43,4,377,5467,1616,880,-,158,-,2,3,-,33,19,1644,196,55,2,2,3,2,-,131,1,20,15,-,11,7,9,-,1,-,1,45,48,3,560
"강력범죄",유사강간,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,21,24,-,10,-,1,-,-,1,-,20,9,4,-,-,2,-,-,6,1,3,2,-,2,2,1,-,-,-,-,3,5,2,13,375,68,63,-,30,-,-,-,-,2,2,47,36,9,-,-,-,-,-,16,-,5,3,-,2,1,1,-,-,-,-,12,11,1,66,518,73,80,1,42,-,2,-,-,3,4,71,42,13,-,1,-,1,-,12,-,6,19,-,5,1,6,-,-,-,-,7,18,-,111,583,101,88,-,36,-,-,-,1,3,2,81,42,9,-,1,-,-,-,16,-,3,12,-,12,2,1,-,-,-,-,10,33,1,129,636,138,99,-,36,-,-,1,-,2,2,107,44,10,-,1,-,1,-,22,-,7,10,-,5,-,1,-,-,-,-,12,11,-,127,776,176,173,-,33,-,1,1,-,2,6,117,69,6,-,2,-,-,-,51,-,7,7,-,8,4,1,-,-,1,-,14,13,1,83,782,209,134,-,45,1,1,-,-,7,5,153,81,11,1,-,-,1,-,20,1,6,14,-,10,-,1,-,1,3,-,6,19,1,51,823,229,131,-,43,-,-,3,-,11,4,179,55,12,1,-,2,-,-,43,-,9,6,-,10,2,1,-,1,2,-,7,8,-,64,814,247,147,-,36,-,-,2,-,10,6,170,38,9,1,-,1,-,-,32,-,10,8,-,12,2,1,-,-,1,-,11,9,1,60,947,240,147,2,57,1,-,-,-,9,8,184,55,26,1,1,-,-,-,47,2,8,8,-,11,2,5,-,-,2,-,7,12,1,111
