"범죄별(1)",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"범죄별(1)",계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상
"계",1131242,97696,81373,77570,102246,105232,126612,156129,253357,131027,1153924,97604,84140,82831,108295,112322,134958,158929,247492,127353,1129006,93410,83613,85935,114429,114480,135309,156707,231765,113358,987987,84473,76691,74646,99062,100348,120283,137614,196792,98078,873794,73169,67698,65827,86238,90989,107370,123074,166208,93221,854298,67858,64131,66068,89296,97282,110991,122216,145867,90589,802639,61428,57951,58361,83199,94852,108553,118578,132955,86762,715361,41200,35710,47449,75532,88738,100589,113021,139304,73818,683886,50281,43886,44720,66567,76201,87466,99237,131564,83964,684678,52854,50139,49761,66258,75875,86041,94427,117700,91623,664914,47554,46323,46759,65844,73440,83102,89810,107733,104349
"절도",266784,21567,21195,17918,29081,30903,34679,40322,35015,36104,246424,19607,19561,16584,26347,29451,32626,35789,30570,35889,203573,15523,15832,13882,22982,26400,28570,29490,25140,25754,184355,13751,14385,12502,21531,24623,26890,26654,22167,21852,177458,12596,13731,12483,20672,24578,26672,25697,19984,21045,187629,13095,14176,13104,21763,27242,28582,27272,20587,21808,180067,11789,13672,12392,21358,26743,28648,25809,19263,20393,166782,9367,10612,12025,21467,26196,27547,24175,17914,17479,182720,10269,11687,13497,23545,28521,30893,26361,18898,19049,189942,11449,13151,15522,23345,28855,30835,25912,18606,22267,184155,10559,12690,13789,23151,27786,29686,24857,17155,24482
"살인",938,82,86,65,94,91,101,135,155,129,958,74,85,73,108,84,114,137,156,127,948,77,70,75,98,102,122,109,193,102,858,67,69,75,94,88,100,126,141,98,849,65,57,63,91,78,77,133,140,145,847,49,73,49,86,97,96,110,132,155,805,56,58,63,78,78,88,102,114,168,692,39,50,41,74,57,78,108,100,145,738,52,63,55,80,69,84,65,111,159,801,52,62,50,76,65,84,126,115,171,806,48,59,59,80,64,84,92,111,209
"강도",1618,249,297,86,92,120,115,142,204,313,1472,232,262,79,110,102,93,147,186,261,1181,150,200,78,77,107,86,136,142,205,990,132,162,58,72,77,90,100,136,163,841,112,135,49,76,68,67,90,98,146,845,112,133,45,66,75,72,86,112,144,692,80,96,35,64,67,73,65,90,122,511,39,54,28,54,51,55,59,92,79,532,46,69,25,45,42,63,71,76,95,599,59,71,32,50,54,53,67,88,125,474,55,50,22,32,35,43,41,81,115
"방화",1707,223,209,97,125,144,219,209,318,163,1646,184,162,108,144,150,188,248,299,163,1477,170,185,104,120,141,155,210,267,125,1358,157,140,82,113,156,149,197,248,116,1478,165,154,106,120,140,188,213,250,142,1345,142,151,102,120,107,168,187,227,141,1210,131,131,65,101,120,125,179,223,135,1025,113,91,74,82,90,103,132,231,109,1224,120,125,90,110,116,120,186,231,126,1189,99,129,86,110,98,140,182,205,140,1011,81,99,71,86,85,110,139,197,143
"성폭력",29863,2511,2651,2275,2197,2330,3059,3576,4405,6859,31063,2518,2665,2465,2122,2473,3262,3826,4635,7097,29357,2897,2852,2202,1996,2241,2894,3710,4903,5662,32824,3200,3296,2615,2559,2651,3442,4335,5303,5423,32104,3054,3250,2246,2394,2615,3327,4034,5086,6098,32029,3061,3332,2233,2317,2539,3204,3920,5048,6375,30105,2820,2808,1726,2207,2479,3054,3704,4992,6315,32898,2435,2117,1554,2429,2917,3543,4297,5895,7711,41433,3255,2961,1999,2860,3424,4345,5158,6951,10480,38698,3223,3060,2201,2629,3268,4058,4551,5898,9810,36180,2452,2537,1759,2386,2666,3447,3933,4745,12255
"폭행",146625,20789,16233,7791,9147,9464,12069,18917,35198,17017,161636,22467,18015,8883,10576,10695,13315,20874,38481,18330,172071,23719,19177,9995,11605,11862,14426,22387,40428,18472,165498,22343,18552,9738,11575,11798,14291,21375,38210,17616,164500,20672,17595,9728,12137,12310,14971,21459,36140,19488,161915,19898,17036,9618,11964,12867,15132,21178,34873,19349,143600,16548,14030,8244,10865,11842,14248,20033,30765,17025,119515,9083,6338,5773,10044,11220,13144,19722,30865,13326,129278,12249,8845,6749,10599,11532,13374,19254,30454,16222,123153,12499,10053,7350,10413,10958,12767,17489,25431,16193,118779,11190,9340,6912,9925,10487,12316,16123,22774,19712
"상해",65840,8320,6632,3615,4642,4428,5739,8071,13925,10468,62700,7657,6366,3598,4641,4492,5726,7705,13076,9439,55761,6971,5605,3372,4340,4160,5095,7031,11461,7726,49376,6052,5170,2995,3895,3781,4606,6178,10129,6570,43666,5126,4258,2669,3503,3548,4084,5487,8578,6413,40306,4644,3910,2462,3220,3247,3933,4942,7967,5981,36022,3942,3361,2216,2980,2971,3533,4576,7027,5416,30862,2637,1859,1604,2544,2670,3265,4577,7190,4516,29254,2770,2130,1604,2322,2389,2886,3993,6619,4541,24800,2667,2108,1457,1865,1955,2419,3157,4846,4326,21230,2006,1783,1181,1584,1708,1982,2470,3681,4835
"협박",9205,626,459,445,980,863,1004,1267,1429,2132,14107,906,725,788,1570,1345,1571,2025,2331,2846,16444,1092,812,1070,1905,1769,2012,2329,2757,2698,16007,1011,777,1108,1857,1777,1982,2424,2590,2481,17777,1080,861,1117,1985,1829,2137,2781,2890,3097,21648,1331,1050,1348,2388,2328,2743,3352,3477,3631,21814,1247,1030,1357,2326,2403,2841,3374,3376,3860,21502,1034,777,1180,2317,2471,2807,3407,3716,3793,21963,1323,981,1343,2248,2435,2709,3448,3699,3777,23346,1398,1138,1473,2271,2497,2868,3559,3692,4450,24558,1338,1059,1391,2222,2375,2813,3376,3476,6508
