"죄종별(1)",죄종별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"죄종별(1)",죄종별(2),계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상
"계",소계,1520200,566022,74716,76618,126876,148826,160140,157944,178504,30554,1583108,713722,62122,64760,116411,137666,149138,146901,162366,30022
"강력범죄",소계,24939,7369,2529,1676,1635,1952,2414,2931,4012,421,23443,8246,2194,1425,1478,1619,2154,2529,3451,347
"강력범죄",살인기수,278,75,25,17,33,26,24,40,34,4,274,99,17,21,27,20,20,34,30,6
"강력범죄",살인미수등,492,130,36,29,35,37,59,86,79,1,498,134,41,37,47,39,61,57,79,3
"강력범죄",강도,573,170,69,33,45,52,52,65,85,2,457,162,50,22,30,33,39,40,79,2
"강력범죄",강간,5120,1941,679,329,256,309,380,407,654,165,4777,2107,556,303,243,252,326,358,513,119
"강력범죄",유사강간,908,348,137,63,40,54,63,79,108,16,897,386,119,64,44,45,58,73,93,15
"강력범죄",강제추행,16189,4405,1436,1109,1108,1359,1676,2048,2824,224,15377,5069,1301,902,993,1136,1528,1812,2442,194
"강력범죄",기타 강간/강제추행등,176,61,17,8,7,16,18,23,21,5,148,66,11,4,5,9,12,16,18,7
"강력범죄",방화,1203,239,130,88,111,99,142,183,207,4,1015,223,99,72,89,85,110,139,197,1
"절도범죄",소계,189570,32911,13149,15513,23158,28758,30786,25857,18584,854,183534,34281,12677,13753,22936,27673,29609,24797,17105,703
"폭력범죄",소계,234561,58474,17444,14001,19480,20910,25418,33512,44203,1119,219798,62544,15807,12803,17755,19175,23180,29407,38242,885
"폭력범죄",상해,22916,6349,1866,1338,1697,1826,2279,2949,4557,55,19578,6199,1604,1078,1450,1581,1868,2319,3442,37
"폭력범죄",폭행,119527,27472,9715,7114,10011,10677,12470,17046,24846,176,115254,29744,9057,6695,9428,10183,11976,15751,22243,177
"폭력범죄",체포/감금,1011,305,81,67,69,104,129,122,127,7,956,358,56,53,67,91,98,109,119,5
"폭력범죄",협박,22956,5611,1128,1457,2211,2461,2834,3510,3667,77,24190,7616,1049,1372,2160,2326,2785,3329,3445,108
"폭력범죄",약취/유인,342,101,10,8,22,53,79,40,23,6,316,95,6,15,25,50,57,41,23,4
"폭력범죄",폭력행위등,6930,2524,726,334,389,425,514,788,1136,94,5713,2093,620,257,300,346,499,615,946,37
"폭력범죄",공갈,6910,3342,133,94,310,590,870,829,620,122,6003,3113,110,64,300,495,705,601,529,86
"폭력범죄",손괴,53969,12770,3785,3589,4771,4774,6243,8228,9227,582,47788,13326,3305,3269,4025,4103,5192,6642,7495,431
"지능범죄",소계,432525,245840,5755,7021,29894,39883,39760,29069,23453,11850,505208,345644,4863,6182,24411,31393,31686,25682,19733,15614
"지능범죄",직무유기,1291,1003,3,7,67,36,26,17,12,120,1077,878,5,6,33,22,28,7,8,90
"지능범죄",직권남용,1848,1377,18,17,107,58,53,48,45,125,1611,1275,14,14,62,42,24,31,27,122
"지능범죄",증수뢰,265,185,-,1,16,12,8,11,3,29,307,223,-,1,22,6,8,12,4,31
"지능범죄",통화,484,228,2,14,70,53,47,7,6,57,489,236,3,14,64,49,51,18,11,43
"지능범죄",문서/인장,12280,8691,141,69,608,595,531,374,345,926,12746,9502,123,68,457,513,563,325,276,919
"지능범죄",유가증권인지,47,25,-,1,8,6,2,1,-,4,59,40,-,-,2,5,4,2,1,5
"지능범죄",사기,347901,208604,3360,3630,22836,31698,31342,21485,16536,8410,421421,303184,2821,3020,18574,24436,24170,18943,14178,12095
"지능범죄",횡령,64810,22799,2230,3280,6016,7343,7712,7103,6490,1837,63601,26967,1896,3057,5114,6254,6813,6328,5220,1952
"지능범죄",배임,3599,2928,1,2,166,82,39,23,16,342,3897,3339,1,2,83,66,25,16,8,357
"풍속범죄",소계,25776,9810,1078,970,1582,2270,3074,3158,3384,450,27602,13891,848,792,1520,1833,2662,2789,2733,534
"풍속범죄",성풍속범죄,19939,7008,962,887,1338,1825,2360,2425,2791,343,18737,8475,716,695,1093,1405,1876,1992,2110,375
"풍속범죄",도박범죄,5837,2802,116,83,244,445,714,733,593,107,8865,5416,132,97,427,428,786,797,623,159
"특별경제범죄",소계,59090,32762,1097,1082,3888,4968,4796,4331,4117,2049,103870,67106,1339,1415,4711,7663,6945,5780,6071,2840
"마약범죄",소계,15473,6562,880,371,1242,1469,1691,1475,1419,364,11380,5074,416,296,822,1069,1153,1085,1162,303
"보건범죄",소계,10822,5808,306,105,548,507,735,793,1579,441,9317,5630,199,79,320,369,533,594,1174,419
"환경범죄",소계,7384,2291,22,134,294,1181,178,70,29,3185,2728,2132,9,16,106,140,79,24,16,206
"교통범죄",소계,235636,37601,18242,20307,21682,23273,26958,33655,53645,273,231210,35696,17008,20338,22786,23898,27588,33476,50148,272
"노동범죄",소계,1946,409,7,4,30,22,14,27,18,1415,339,268,5,2,9,4,7,9,17,18
"안보범죄",소계,246,143,3,4,17,31,7,5,11,25,259,159,2,-,31,12,21,12,5,17
"선거범죄",소계,751,490,4,19,65,60,32,41,5,35,1599,1013,9,48,146,128,104,68,28,55
"병역범죄",소계,8617,6844,-,17,645,368,37,27,31,648,10223,8551,1,14,478,438,27,29,11,674
"기타범죄",소계,272864,118708,14200,15394,22716,23174,24240,22993,24014,7425,252598,123487,6745,7597,18902,22252,23390,20620,22470,7135
