"장소별(1)",2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
"장소별(1)",계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상
"합계",190743,65254,3035,3835,11720,109,3367,103423,212527,72909,3084,3636,11342,3,3700,117853,223259,73602,2380,3391,11079,1,2996,129810,256678,81035,2572,2779,13729,1,3300,153262,267994,80083,2258,1679,11931,-,3442,168601,281534,77335,2378,2396,20672,-,3590,175163,274649,91091,1948,1907,28448,3,5602,145650,273068,87068,1822,1234,27644,-,4443,150857,266784,67528,1457,740,24169,1,2967,163688,6234,246424,53645,1404,372,24005,-,2574,163877,547,203573,38361,1050,252,20611,2,2151,140666,480,184355,27922,821,162,19743,1792,133347,568,177458,25330,576,163,19596,-,1504,129663,626,187629,23332,535,98,19982,-,1594,141446,642,180067,18780,325,83,17038,-,1382,141928,531,166782,15202,272,63,13983,-,1035,135865,362,182720,13837,278,39,13369,2,1006,153716,473,189942,11494,243,52,11242,-,1207,164607,1097,184155,10106,147,51,10214,2,1023,161652,960
"아파트·연립·다세대",18535,12771,61,67,269,2,201,5164,20586,14471,56,79,268,-,141,5571,21116,13968,55,69,227,-,93,6704,22282,14386,48,59,339,-,113,7337,25389,14448,37,39,384,-,204,10277,19599,11029,25,44,397,-,167,7937,14033,8988,2,14,317,-,101,4611,21873,12883,2,30,642,-,166,8150,14336,7356,-,9,393,-,66,6238,274,11043,5183,-,-,206,-,89,5564,1,8778,4109,3,8,360,-,72,4223,3,7038,2451,1,3,360,83,4138,2,11519,3198,-,1,805,-,48,7463,4,14345,2939,1,4,1167,-,82,10152,-,16703,2671,2,1,1364,-,121,12538,6,16485,1802,-,2,1257,-,103,13318,3,17200,1737,1,2,1168,0,78,14210,4,16810,1302,5,3,910,-,43,14516,31,15107,965,1,1,682,-,33,13405,20
"단독주택",26959,20168,49,27,133,-,154,6428,31306,23915,66,32,177,-,149,6967,32542,24440,50,25,203,-,140,7684,36312,26933,64,19,247,-,175,8874,37787,27414,34,27,224,-,137,9951,26349,18947,18,14,297,-,139,6934,19350,16326,-,6,186,-,107,2725,29276,23877,-,6,439,-,106,4848,19516,14878,-,5,235,-,40,3963,395,15566,11603,-,-,119,-,61,3780,3,13228,9596,1,1,230,-,57,3342,1,9045,5642,1,2,227,73,3099,1,11544,6701,1,-,395,-,46,4399,2,11450,5959,-,1,477,-,42,4969,2,10197,4379,-,-,515,-,77,5225,1,8535,3192,1,6,404,-,48,4883,1,8120,2946,2,0,355,0,37,4777,3,7211,2321,-,-,211,-,21,4647,11,5760,1701,-,1,225,-,12,3813,8
"고속도로",341,6,239,-,9,-,-,87,143,13,18,-,16,-,1,95,97,9,2,1,12,-,-,73,104,5,3,-,10,-,1,85,151,12,4,-,15,-,-,120,122,8,6,1,18,-,2,87,116,27,18,-,13,-,-,58,166,20,29,3,29,-,1,84,178,61,7,1,23,-,1,82,3,134,4,5,-,21,-,-,103,1,145,6,2,-,21,-,-,115,1,144,4,1,-,12,1,126,-,165,5,3,-,15,-,1,140,1,181,10,-,-,13,-,2,156,-,161,8,-,-,9,-,-,144,-,99,6,1,-,5,-,-,87,-,115,13,1,0,5,0,1,95,0,146,4,-,-,3,-,1,138,-,115,5,-,-,2,-,1,107,-
"노상",52638,947,922,3576,4152,64,198,42779,56667,874,1027,3339,3291,1,215,47920,58173,950,775,3093,3582,-,222,49551,62288,1174,884,2544,4392,-,250,53044,62559,852,771,1515,3436,-,197,55788,46154,191,501,1667,4016,-,259,39520,38556,3686,373,1076,4140,1,1153,28127,63790,6426,608,1117,6308,-,1103,48228,49530,100,483,586,5032,1,433,42086,809,45312,87,559,280,5058,-,255,39064,9,39363,30,353,181,4718,1,216,33858,6,36808,14,273,118,4947,119,31327,10,39959,70,202,131,5457,-,127,33965,7,45543,91,188,70,5707,-,133,39350,4,46862,162,120,55,5051,-,157,41316,1,46374,81,81,44,4616,-,122,41430,-,51949,74,101,28,4666,1,117,46958,4,47838,195,100,33,3530,-,155,43753,72,39157,215,42,24,2662,-,97,36079,38
"상점",18588,9139,263,12,1717,1,1124,6332,21186,9284,345,18,2065,-,1150,8324,22678,9076,226,24,1959,-,1117,10276,31046,10893,312,8,2752,-,1176,15905,29977,9627,186,9,2341,-,1453,16361,22278,7069,142,13,2340,-,1028,11686,17349,5475,90,8,2754,-,987,8035,30828,8932,140,10,4597,-,1286,15863,22614,6035,82,9,2937,-,749,11757,1045,22382,5163,76,4,2983,-,822,13332,2,22203,4677,43,5,2790,-,754,13920,14,20111,2467,32,-,2718,646,14238,10,29574,3589,31,7,4000,-,688,21252,7,33921,3628,39,5,4346,-,804,25091,8,34609,2923,23,5,3686,-,672,27298,2,36591,3108,12,3,2830,-,552,30082,4,42065,3092,15,3,2931,0,568,35428,28,48770,3052,13,3,2751,-,608,42010,333,44809,2423,7,3,2270,-,576,39400,130
"시장·노점",593,230,44,5,64,-,27,223,628,234,53,2,68,-,25,246,608,240,49,7,69,-,13,230,766,278,48,4,86,-,18,332,1239,269,114,5,140,-,29,682,1122,195,126,7,156,-,56,582,2722,898,157,13,425,-,79,1150,4884,1623,189,6,792,-,77,2197,2998,1199,83,1,282,-,53,1198,182,2475,524,66,2,455,-,37,1391,-,2311,800,68,-,296,-,29,1118,-,1803,380,47,1,323,20,1031,1,4100,917,70,2,650,-,36,2424,1,4677,834,77,-,603,-,30,3133,-,3951,636,37,2,466,-,14,2796,-,3971,704,58,3,435,-,22,2748,1,3927,375,37,0,323,0,23,3168,1,1535,109,32,-,143,-,10,1236,5,1116,67,15,-,104,-,4,924,2
"숙박업소·목욕탕",7084,2275,48,1,184,-,124,4452,7641,2639,63,8,155,-,164,4612,7587,2284,46,3,138,-,120,4996,8563,2646,64,2,198,-,124,5529,9203,2830,23,5,169,-,75,6101,8306,2280,39,-,266,-,74,5647,9623,1498,23,2,1019,-,71,7010,14743,2313,13,1,1567,-,74,10775,6736,1631,7,1,516,-,92,4286,203,5167,1172,3,-,341,-,34,3615,2,4409,1051,2,2,229,-,36,3089,-,3559,616,3,1,195,28,2715,1,6254,755,1,1,382,-,38,5076,1,6142,640,3,1,370,-,43,5084,1,4326,544,1,3,225,-,29,3523,1,2666,444,-,-,91,-,21,2110,-,2739,370,1,0,103,0,12,2253,0,2336,216,2,-,80,-,21,2012,5,1877,155,1,-,55,-,13,1650,3
