crime_type_original,row_count,year_count,first_year,last_year,occurrence_total
부정수표단속법,33,33,1990,2022,250030.0
식품위생법,33,33,1990,2022,194419.0
자동차관리법,33,33,1990,2022,185533.0
저작권법,33,33,1990,2022,136572.0
병역법,33,33,1990,2022,118490.0
건축법,33,33,1990,2022,47282.0
도로법,33,33,1990,2022,47173.0
조세범처벌법,33,33,1990,2022,24919.0
상표법,33,33,1990,2022,22086.0
위증죄,33,33,1990,2022,17725.0
공갈,33,33,1990,2022,17233.0
의료법,33,33,1990,2022,15654.0
약사법,33,33,1990,2022,11608.0
주차장법,33,33,1990,2022,10257.0
주민등록법,33,33,1990,2022,9002.0
변호사법,33,33,1990,2022,4282.0
폐기물관리법,33,33,1990,2022,2997.0
국가보안법,33,33,1990,2022,1600.0
실용신안법,33,33,1990,2022,1459.0
여권법,33,33,1990,2022,829.0
범인은닉·범인도피죄,33,33,1990,2022,773.0
비밀침해죄,33,33,1990,2022,351.0
고압가스안전관리법,33,33,1990,2022,349.0
산업안전보건법,33,33,1990,2022,183.0
하천법,32,32,1990,2022,614.0
문화재보호법,32,32,1990,2022,341.0
근로기준법,32,32,1990,2022,197.0
특허법,31,31,1992,2022,1701.0
손괴의죄,30,30,1990,2022,164682.0
공무상비밀누설,30,30,1990,2022,132.0
사문서위조·변조,29,29,1994,2022,60550.0
특가법(도주차량),29,29,1994,2022,53577.0
도박,29,29,1994,2022,36935.0
공문서위조·변조,29,29,1994,2022,26163.0
경범죄처벌법,29,29,1994,2022,16901.0
출입국관리법,29,29,1994,2022,5757.0
도박개장,29,29,1994,2022,5401.0
직업안정법,29,29,1994,2022,3729.0
대기환경보전법,29,29,1994,2022,3100.0
직무유기·수행거부,29,29,1994,2022,2745.0
보건범죄특조법(부정의료업자),29,29,1994,2022,2419.0
부당이득,29,29,1994,2022,483.0
특가법(보복범죄등),29,29,1994,2022,425.0
도시가스사업법,29,29,1994,2022,366.0
특경법(알선수재),29,29,1994,2022,199.0
산림법,28,28,1990,2022,522.0
특가법(뇌물),28,28,1995,2022,224.0
수도법,27,27,1994,2022,433.0
특경법(공갈),27,27,1994,2022,117.0
