파일명,데이터분류,인코딩,행수,열수,SHA256,중복여부,중복그룹
132_DT_13204_2011_N212_20260915162627.csv,발생_검거,cp949,4631,16,b785cc95cf7c7bd450677e565e2b6224615a02b2afd788c45fd82580fc34b96b,False,
132_DT_13204_2011_N213_20260915163035.csv,발생_검거,cp949,4699,16,3ac1e1358fbc0d783b9f2fddc4827b3cb9777d2798f21f6433e0a7580ecdbfa6,False,
132_TX_132_2009_H1003_20260915164522.csv,발생_검거,cp949,6291,25,366e41ab10f6981a57c9437602b8aaaf74c01270346a4c549fcb56ad90ebec49,False,
135_DT_13501N_A001_20260915171215.csv,발생_인지기간,cp949,2952,24,a3f01c3e2933bd608e9f28f0b404c83eca6dee8268db51263de5b663b14ca611,False,
135_DT_13501N_A007_20260915173134.csv,수사단서,cp949,4109,24,95c8e9b0902a526d3e69c65c9f272dec4bdd9a4047154401e10c9f2ae41bf801,False,
135_DT_13501N_A028_20260915172936.csv,검거단서,cp949,5831,24,8f3777f9ffa4174962cadb16cc706614ae665ba8f2923bf8e11c6e8014b1625a,False,
135_DT_13501N_A051_20260915171408.csv,사건처리기간,cp949,4136,25,b63024c21d523dd7422ccf0fe776546382086285e5587dc343766cdd948ac347,False,
135_TX_13501_A039_20260915171304.csv,발생_인지기간,cp949,3307,18,f6ab4d20c89b7d4f237a2694a0a2aee9bacae097bdbe220ac09d3239615cec2d,False,
135_TX_13501_A048_20260915163340.csv,지역별_범죄발생,cp949,4044,19,9e700d3f64c87911554b0b1cce8e758949d107c90e4809c7da03c640f62525b3,False,
135_TX_13501_A048_20260915163423.csv,지역별_범죄발생,cp949,3848,22,8996e0b2047a0fd2b038f7ef5817879863912a6163b09a08a7e6094cf705e59d,False,
135_TX_13501_A107_20260915171431.csv,사건처리기간,cp949,4101,18,cc3dadcd307825ed6de8f4c561cd80c6764eefe263b4f4d8d1bd9d34a4f7b3c0,False,
강도·절도_및_사기_수법_20260915172815.csv,강도절도사기_수법,utf-8-sig,5,1128,56f8f17838ce636225130eb04a2126e769c9f51c5138c1e40c25b1a82a9f82a3,False,
범죄_발생_및_검거_현황_전국__20260915162443.csv,발생_검거,utf-8-sig,520,11,114ed311564346f72fe9f2adfc9dbf54e7ae0d5fc5f5b170291433e2810f0b39,False,
범죄_발생시간_20260915170857.csv,발생시간,utf-8-sig,45,122,625cf55965e5b62309d33b6ded491e09c5d45601779434da6de09ae764e1a07b,True,DUP_01
범죄_발생시간_20260915170901.csv,발생시간,utf-8-sig,45,122,625cf55965e5b62309d33b6ded491e09c5d45601779434da6de09ae764e1a07b,True,DUP_01
범죄_발생요일_20260915172018.csv,발생요일,utf-8-sig,45,98,d488a5028c16d1d1ec616834092125936af057c976d73f2a17a8d75cb819d606,False,
범죄_발생장소_20260915172354.csv,발생장소,utf-8-sig,45,422,f655517699a6ba1171172ae4d52ec5cbc8fb6a54b84f3f2ff14f7f880f99815f,False,
범죄발생_시간_20260915170827.csv,발생시간,utf-8-sig,34,111,093e6fa154def9ac956eca07daabc29ffb4067ff6e7b20a77c426a61c6d00820,False,
범죄발생시간_20260915170750.csv,발생시간,utf-8-sig,44,22,0934404e5b2927cb5da3c71352f3765ca355dfa14b75431c99f88910a7de8aaa,False,
범죄의_발생_검거상황_서울지방경찰청__19932005__20260915163914.csv,발생_검거,utf-8-sig,254,81,1c9678cd5b3f745e57c0086d95a9489b375292e71412e238dcdc9733a67a2d9f,False,
절도_범죄의_발생장소와_수법_20260915172605.csv,절도_장소_수법,utf-8-sig,29,163,5470fbcfd2ca683b42a7d295a4595572eb6bfd8e4377edeb4f15e7f61ed915b6,False,
