year,region,crime_type,occurrence_count,arrest_count,clearance_rate,source_period,source_file,data_role
1990,범위확인필요,가정의례에 관한 법률,115.0,62.0,53.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,간통죄,1272.0,1158.0,91.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,강간,866.0,866.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,강간죄,428.0,404.0,94.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,강간치사상죄,418.0,445.0,106.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,강도,1541.0,1238.0,80.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,강도강간죄,64.0,61.0,95.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,강도살인치사죄,24.0,35.0,145.8,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,강도상해치상죄,395.0,393.0,99.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,강력범,2848.0,2388.0,83.8,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,개항질서법,2.0,2.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,건설업법,19.0,14.0,73.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,건축법,3982.0,3884.0,97.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,계량법,199.0,162.0,81.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,고물영업법,118.0,128.0,108.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,고압가스안전관리법,13.0,7.0,53.8,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공갈,167.0,163.0,97.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공무방해에 관한 죄,1510.0,1562.0,103.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공무상비밀누설,4.0,3.0,75.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공문서위·변조죄,233.0,208.0,89.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공산품품질관리법,122.0,110.0,90.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공안을 해하는 죄,8.0,7.0,87.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공연법,55.0,50.0,90.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공연음란죄,7.0,10.0,142.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공용·일반건조물방화죄,21.0,16.0,76.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공유수면관리법,5.0,7.0,140.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공인위조부정행사죄,24.0,22.0,91.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,공중위생법,3185.0,3238.0,101.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,과실치상의죄,890.0,884.0,99.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,관세법,35.0,38.0,108.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,광고물등관리법,155.0,143.0,92.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,교통 방해의 죄,10.0,10.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,교통사고처리특례법,55208.0,55927.0,101.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
