파일명,인코딩,행수,열수
132_DT_13204_2011_N212_20260915162627.csv,cp949,4631,16
132_DT_13204_2011_N213_20260915163035.csv,cp949,4699,16
132_TX_132_2009_H1003_20260915164522.csv,cp949,6291,25
135_DT_13501N_A001_20260915171215.csv,cp949,2952,24
135_DT_13501N_A051_20260915171408.csv,cp949,4136,25
135_TX_13501_A039_20260915171304.csv,cp949,3307,18
135_TX_13501_A048_20260915163340.csv,cp949,4044,19
135_TX_13501_A048_20260915163423.csv,cp949,3848,22
135_TX_13501_A107_20260915171431.csv,cp949,4101,18
강도·절도_및_사기_수법_20260915172815.csv,utf-8-sig,5,1128
범죄_발생_및_검거_현황_전국__20260915162443.csv,utf-8-sig,520,11
범죄_발생시간_20260915170857.csv,utf-8-sig,45,122
범죄_발생시간_20260915170901.csv,utf-8-sig,45,122
범죄_발생요일_20260915172018.csv,utf-8-sig,45,98
범죄_발생장소_20260915172354.csv,utf-8-sig,45,422
범죄발생_시간_20260915170827.csv,utf-8-sig,34,111
범죄발생시간_20260915170750.csv,utf-8-sig,44,22
범죄의_발생_검거상황_서울지방경찰청__19932005__20260915163914.csv,utf-8-sig,254,81
절도_범죄의_발생장소와_수법_20260915172605.csv,utf-8-sig,29,163
