evidence_id,year,region,crime_type_original,crime_group_refined,related_groups,occurrence_count,arrest_count,clearance_rate,previous_occurrence,yoy_change_rate,trend_direction,quality_flag,data_warning,evidence_card_text,source_file,display_ready
DATA-000001,2011,범위확인필요,(추행·간음·영리)약취·유인,성범죄,성범죄,23.0,21.0,,,,비교불가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 23건 / 검거 21건,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000002,2012,범위확인필요,(추행·간음·영리)약취·유인,성범죄,성범죄,9.0,10.0,,23.0,-60.86956521739131,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 9건 / 검거 10건 / 전년 대비 -60.9%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000003,2016,범위확인필요,(특수·인질·해상)강도(상습),강도,강도,1.0,1.0,,,,비교불가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 1건 / 검거 1건,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000004,2013,범위확인필요,13세미만미성년자강간·간음,성범죄,성범죄,13.0,12.0,,,,비교불가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 13건 / 검거 12건,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000005,2014,범위확인필요,13세미만미성년자강간·간음,성범죄,성범죄,10.0,10.0,,13.0,-23.076923076923077,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 10건 / 검거 10건 / 전년 대비 -23.1%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000006,2015,범위확인필요,13세미만미성년자강간·간음,성범죄,성범죄,12.0,13.0,,10.0,20.0,증가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 12건 / 검거 13건 / 전년 대비 +20.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000007,2016,범위확인필요,13세미만미성년자강간·간음,성범죄,성범죄,7.0,6.0,,12.0,-41.66666666666667,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 7건 / 검거 6건 / 전년 대비 -41.7%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000008,2017,범위확인필요,13세미만미성년자강간·간음,성범죄,성범죄,14.0,13.0,,7.0,100.0,증가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 14건 / 검거 13건 / 전년 대비 +100.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000009,2018,범위확인필요,13세미만미성년자강간·간음,성범죄,성범죄,10.0,10.0,,14.0,-28.57142857142857,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 10건 / 검거 10건 / 전년 대비 -28.6%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000010,2019,범위확인필요,13세미만미성년자강간·간음,성범죄,성범죄,12.0,11.0,,10.0,20.0,증가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 12건 / 검거 11건 / 전년 대비 +20.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000011,2020,범위확인필요,13세미만미성년자강간·간음,성범죄,성범죄,7.0,8.0,,12.0,-41.66666666666667,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 7건 / 검거 8건 / 전년 대비 -41.7%,132_DT_13204_2011_N213_20260915163035.csv,True
