crime_type_original,region_original,occurrence_count,year,source_file,duplicate_key
간통,강남,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,강남,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,강남,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,강남,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,강남,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,강남,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,강남,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,강남,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,강남,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,강남,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,강남,39.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,강남,46.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,강남,38.0,2006,135_TX_13501_A048_20260915163423.csv,False
간통,강남,48.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,강남,30.0,2008,135_TX_13501_A048_20260915163423.csv,False
간통,강남,29.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,강남,21.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,강남,19.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,강남,25.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,강남,24.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2022,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,강남,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,강동,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,강동,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,강동,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,강동,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,강동,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,강동,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,강동,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,강동,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,강동,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,강동,31.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,강동,19.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,강동,32.0,2006,135_TX_13501_A048_20260915163423.csv,False
간통,강동,29.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,강동,23.0,2008,135_TX_13501_A048_20260915163423.csv,False
간통,강동,28.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,강동,13.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,강동,17.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,강동,8.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,강동,8.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2022,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,강동,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,강북,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,강북,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,강북,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,강북,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,강북,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,강북,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,강북,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,강북,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,강북,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,강북,44.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,강북,30.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,강북,30.0,2006,135_TX_13501_A048_20260915163423.csv,False
간통,강북,18.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,강북,18.0,2008,135_TX_13501_A048_20260915163423.csv,False
간통,강북,14.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,강북,11.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,강북,18.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,강북,8.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,강북,12.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2022,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,강북,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,강서,,1994,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1994,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1995,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1995,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1996,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1996,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1997,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1997,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1998,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1998,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1999,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,1999,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,2000,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,2000,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,2001,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,2001,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,2002,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,2002,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,2003,135_TX_13501_A048_20260915163423.csv,True
간통,강서,,2003,135_TX_13501_A048_20260915163423.csv,True
간통,강서,58.0,2004,135_TX_13501_A048_20260915163423.csv,True
간통,강서,9.0,2004,135_TX_13501_A048_20260915163423.csv,True
간통,강서,42.0,2005,135_TX_13501_A048_20260915163423.csv,True
간통,강서,6.0,2005,135_TX_13501_A048_20260915163423.csv,True
간통,강서,35.0,2006,135_TX_13501_A048_20260915163423.csv,True
간통,강서,6.0,2006,135_TX_13501_A048_20260915163423.csv,True
간통,강서,20.0,2007,135_TX_13501_A048_20260915163423.csv,True
간통,강서,8.0,2007,135_TX_13501_A048_20260915163423.csv,True
간통,강서,31.0,2008,135_TX_13501_A048_20260915163423.csv,True
간통,강서,2.0,2008,135_TX_13501_A048_20260915163423.csv,True
간통,강서,29.0,2009,135_TX_13501_A048_20260915163423.csv,True
간통,강서,9.0,2009,135_TX_13501_A048_20260915163423.csv,True
간통,강서,23.0,2010,135_TX_13501_A048_20260915163423.csv,True
간통,강서,2.0,2010,135_TX_13501_A048_20260915163423.csv,True
간통,강서,38.0,2011,135_TX_13501_A048_20260915163340.csv,True
간통,강서,2.0,2011,135_TX_13501_A048_20260915163340.csv,True
간통,강서,30.0,2012,135_TX_13501_A048_20260915163340.csv,True
간통,강서,1.0,2012,135_TX_13501_A048_20260915163340.csv,True
간통,강서,18.0,2013,135_TX_13501_A048_20260915163340.csv,True
간통,강서,4.0,2013,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2014,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2014,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2015,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2015,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2016,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2016,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2017,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2017,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2018,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2018,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2019,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2019,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2020,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2020,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2021,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2021,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2022,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2022,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2023,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2023,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2024,135_TX_13501_A048_20260915163340.csv,True
간통,강서,,2024,135_TX_13501_A048_20260915163340.csv,True
간통,강화군,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,3.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,9.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,,2006,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,4.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,6.0,2008,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,4.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,2.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,강화군,5.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,3.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,3.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2022,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,강화군,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,계양,,1995,135_TX_13501_A048_20260915163423.csv,False
