crime_type_original,crime_group_refined,first_year,last_year,year_count,observation_count,year_span,coverage_rate,time_machine_grade
존속상해치사,폭력,1990,2022,26,26,33,78.78787878787878,10Y
관세법,기타,1990,2021,24,24,32,75.0,10Y
존속폭행치상,폭력,1994,2022,22,22,29,75.86206896551724,10Y
골재채취법,기타,1994,2020,21,21,27,77.77777777777779,10Y
강제추행(준),성범죄,1994,2012,19,19,19,100.0,10Y
건설산업기본법,기타,2004,2022,19,19,19,100.0,10Y
공중위생관리법,기타,2004,2022,19,19,19,100.0,10Y
국민건강보험법,기타,2004,2022,19,19,19,100.0,10Y
국민연금법,기타,2004,2022,19,19,19,100.0,10Y
기타,기타,2004,2022,19,19,19,100.0,10Y
농지법,기타,2004,2022,19,19,19,100.0,10Y
담배사업법,기타,2004,2022,19,19,19,100.0,10Y
도로교통법(무면허운전),교통,2004,2022,19,19,19,100.0,10Y
도로교통법(음주운전),교통,2004,2022,19,19,19,100.0,10Y
도로교통법(음주측정거부),교통,2004,2022,19,19,19,100.0,10Y
미성년자등간음·추행(심신미약자),성범죄,1994,2012,19,19,19,100.0,10Y
사전자기록등위작·변작,기타,2004,2022,19,19,19,100.0,10Y
여객자동차운수사업법,기타,2004,2022,19,19,19,100.0,10Y
외국환거래법,기타,2004,2022,19,19,19,100.0,10Y
유해화학물질관리법,기타,1992,2010,19,19,19,100.0,10Y
윤락행위등방지법,성범죄,1990,2009,19,19,20,95.0,10Y
의장법,기타,1990,2008,19,19,19,100.0,10Y
자동차손해배상보장법,교통,2004,2022,19,19,19,100.0,10Y
자연공원법,기타,2004,2022,19,19,19,100.0,10Y
전기통신기본법,기타,2004,2022,19,19,19,100.0,10Y
전파법,기타,2004,2022,19,19,19,100.0,10Y
지방세법,기타,2004,2022,19,19,19,100.0,10Y
철도법,기타,1990,2008,19,19,19,100.0,10Y
통신비밀보호법,기타,2004,2022,19,19,19,100.0,10Y
특경법(재산국외도피),기타,1994,2020,19,19,27,70.37037037037037,10Y
화물자동차운수사업법,기타,2004,2022,19,19,19,100.0,10Y
강간치상(준),성범죄,1994,2011,18,18,18,100.0,10Y
강제추행치상(준),성범죄,1994,2011,18,18,18,100.0,10Y
공전자기록등위작·변작,기타,2005,2022,18,18,18,100.0,10Y
공인위조·부정사용행사,위조,1994,2010,17,17,17,100.0,10Y
공직선거법,기타,2006,2022,17,17,17,100.0,10Y
과실사상의 죄,기타,1994,2010,17,17,17,100.0,10Y
권리행사를 방해하는 죄,기타,1994,2010,17,17,17,100.0,10Y
낙태의 죄,기타,1994,2010,17,17,17,100.0,10Y
뇌물수수·요구·약속,공직·부패,1994,2010,17,17,17,100.0,10Y
무고의 죄,기타,1994,2010,17,17,17,100.0,10Y
미성년자약취유인,기타,1994,2010,17,17,17,100.0,10Y
방문판매등에 관한 법률,기타,1994,2010,17,17,17,100.0,10Y
사행행위등 규제 및 처벌특례법,기타,1994,2010,17,17,17,100.0,10Y
상습도박,도박,1994,2010,17,17,17,100.0,10Y
소음·진동규제법,기타,1994,2010,17,17,17,100.0,10Y
수질환경보전법,기타,1992,2008,17,17,17,100.0,10Y
액화석유가스의 안전 및 사업관리법,기타,1994,2010,17,17,17,100.0,10Y
유가증권위(변)조,기타,1994,2010,17,17,17,100.0,10Y
유실물 표류물 점유이탈물 매장물횡령,절도,1994,2010,17,17,17,100.0,10Y
음화등반포(판매·임대·전시·제조),기타,1994,2010,17,17,17,100.0,10Y
